"fiscal_year","department_name","revenue_source_name","adopted_revenue_budget","amended_revenue_budget","revenue_budget","revenue_collected","revenue_collected_pct","fund_name","revenue_class_name","fund","revenue_source_code","revenue_class_code"
"2022","CITY PLANNING","STATE GRANTS - OTHERS",,,,"402793.28",,"CITY PLANNING GRANTS TRUST FD","STATE GRANTS/AGREEMENTS","46Y","3361","336"
"2022","CITY PLANNING","MISCELLANEOUS REVENUE-OTHERS","256",,"256",,,"GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5188","516"
"2022","CITY PLANNING","ADDL INTERFD TRANS-OTHER FUNDS",,"3611005.49","3611005.49","3611005.49","100","GENERAL FUND (GENERAL BUDGET)","ADDL INTERFD OPERATING TRANSFER","100","5693","569"
"2022","CITY PLANNING","INTERFD OPER TRANS-PLANNING CASE PROC","25452656","-1391.25","25451264.75","12726328","50","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5660","561"
"2022","CITY PLANNING","COUNTY GRANTS - OTHERS",,,,"486576.09",,"CITY PLANNING GRANTS TRUST FD","COUNTY GRANTS/AGREEMENTS","46Y","3513","351"
"2022","CITY PLANNING","INTEREST INCOME-OTHER",,,,"356.98",,"GRANADA HILLS-KNOLWOOD DIST PL","INVESTMENT EARNINGS","486","4903","490"
"2022","CITY PLANNING","GRANT FR PRIVATE ORGANIZATION",,,,"50000",,"CITY PLANNING GRANTS TRUST FD","MISCELLANEOUS REVENUES","46Y","5179","516"
"2022","CITY PLANNING","SERVICE TO AIRPORTS","134416",,"134416","22257.37","16.56","GENERAL FUND (GENERAL BUDGET)","QUASI-EXTERNAL TRANSACTION","100","4595","459"
"2022","CITY PLANNING","MISCELLANEOUS GOV'T SERVICES","2155",,"2155","15","0.7","GENERAL FUND (GENERAL BUDGET)","OTHER GEN GOVT SERVICES","100","4339","432"
"2022","CITY PLANNING","PLANNING AND LAND USE FEES",,,,"2808625.39",,"SHORT-TERM RENTAL ENFORCEMENT TRUST FUND","ZONING AND SUBDIVISION FEE","62N","4047","404"
"2022","CITY PLANNING","INTEREST INCOME-OTHER",,,,"81276.22",,"CITY PLANNING SYSTEM DEVE FUND","INVESTMENT EARNINGS","588","4903","490"
"2022","CITY PLANNING","BLDG & SAFETY ENT FND REL COST","1730330",,"1730330","421106.2","24.34","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5359","530"
"2022","CITY PLANNING","DEVELOPMENT SURCHARGE",,,,"77.49",,"PLANNING LONG-RANGE PLAN SPREV","OTHER CURRENT SERVICE CHARGES","52F","4665","465"
"2022","CITY PLANNING","MISCELLANEOUS ADM SERVICES",,,,"7330.28",,"PLANNING CASE PROCESSING SPREV","ENGR INSPECTION & OTHER CHARGES","52D","4225","420"
"2022","CITY PLANNING","REIMB FROM OTHER FUNDS",,,,"162765.12",,"PLANNING LONG-RANGE PLAN SPREV","REIMB FROM OTHER FUNDS","52F","5301","530"
"2022","CITY PLANNING","REIMB FROM GRANTS",,,,"136.69",,"CITY PLANNING GRANTS TRUST FD","REIMB FROM GRANTS","46Y","5427","542"
"2022","CITY PLANNING","OPERATING SURCHARGE",,,,"1269314.39",,"CITY PLANNING SYSTEM DEVE FUND","OTHER CURRENT SERVICE CHARGES","588","4664","465"
"2022","CITY PLANNING","ADDL INTERFD TRANS-RES FD NON REIM",,"1504373.59","1504373.59","1504373.59","100","GENERAL FUND (GENERAL BUDGET)","ADDL INTERFD OPERATING TRANSFER","100","5692","569"
"2022","CITY PLANNING","COLLECTION FEE",,,,"7010.44",,"GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5175","516"
"2022","CITY PLANNING","INTEREST INCOME-OTHER",,,,"3445.19",,"CITY PLANNING GRANTS TRUST FD","INVESTMENT EARNINGS","46Y","4903","490"
