"category","name","telephone_number","website","address","street","city","state","zip","latitude","longitude"
"City Building","Council District 13: District Office","(213) 207-3015","http://cd13.lacity.org/","1722 Sunset Blvd Los Angeles, CA 90026","1722 Sunset Boulevard","Los Angeles","CA","90026","34.07735","-118.25921"
"City Building","Council District 13: Hollywood Satellite Office (Appt Only)","(213) 207-3015","http://cd13.lacity.org/","6501 Fountain Ave Los Angeles, CA 90028","6501 Fountain Avenue","Los Angeles","CA","90028","34.094499","-118.33049"
"City Building","City Hall","(213) 473-3231","http://www.lacity.org/","200 N Spring St, Los Angeles, CA 90012","200 N Spring Street","Los Angeles","CA","90012","34.04974","-118.23791"
"City Building","Council District 15: Watts Field Office","(213) 473-5128","http://www.la15th.com/contact","1513 E 103rd St Los Angeles, CA 90002","1513 E 103rd Street","Los Angeles","CA","90002","33.94342","-118.24765"
"City Building","Council District 8: Constituent Service Center","(213) 485-7616","http://mhdcd8.com/connect/contact/","8475 S Vermont Ave Los Angeles, CA 90044","8475 S Vermont Avenue","Los Angeles","CA","90044","33.96111","-118.292"
"City Building","San Pedro Municipal Building","(310) 548-7721","http://www.lacity.org/","638 South Beacon Street, San Pedro, CA 90731","638 South Beacon Street","San Pedro","CA","90731","33.738087","-118.280283"
"City Building","Council District 11:Westchester District Office","(310) 568-8772","http://11thdistrict.com/take-action/contact-us/","7166 W Manchester Ave Los Angeles, CA 90045","7166 W Manchester Avenue","Los Angeles","CA","90045","33.9596","-118.41778"
"City Building","Council District 11: West Los Angeles District Office","(310) 575-8461","http://11thdistrict.com/take-action/contact-us/","1645 Corinth Ave #201 Los Angeles, CA 90025","1645 Corinth Avenue","Los Angeles","CA","90025","34.04507","-118.448886"
"City Building","West Los Angeles Municipal Building","(310) 575-8888","http://www.lacity.org/","1828 Sawtelle Boulevard, Rm 102, Los Angeles, CA 90025","1828 Sawtelle Boulevard","Los Angeles","CA","90025","34.041295","-118.443952"
"City Building","Council District 15: San Pedro Office","(310) 732-4515","http://www.la15th.com/contact","638 S Beacon St Suite 552 San Pedro, CA 90731","638 S Beacon Street","San Pedro","CA","90731","33.73807","-118.28029"
"City Building","Council District 14: El Sereno Field Office","(323) 226-1646","http://www.josehuizar.com/contact/","4927 East Huntington Dr North Suite 100 Los Angeles, CA 90032","4927 East Huntington Drive North","Los Angeles","CA","90032","34.08733","-118.17626"
"City Building","Council District 14: Northeast/Eagle Rock Field Office","(323) 254-5295","http://www.josehuizar.com/contact/","2035 Colorado Boulevard Los Angeles, CA 90041","2035 Colorado Boulevard","Los Angeles","CA","90041","34.139403","-118.211003"
"City Building","Council District 1: Glassell Park Field Office","(323) 341-5671","http://www.gilcedillo.com/contact","3750 Verdugo Rd Los Angeles, CA 90065","3750 Verdugo Road","Los Angeles","CA","90065","34.11678","-118.233288"
"City Building","Council District 14: Boyle Heights Field Office","(323) 526-9332","http://www.josehuizar.com/contact/","2130 E 1st Street Suite 241 Los Angeles, CA 90033","2130 E 1st Street","Los Angeles","CA","90033","34.04433","-118.21291"
"City Building","Council District 1: Highland Park Field Office","(323) 550-1538","http://www.gilcedillo.com/contact","5577 N Figueroa St Los Angeles, CA 90042","5577 N Figueroa Street","Los Angeles","CA","90042","34.10894","-118.1945"
"City Building","Council District 10: Los Angeles (Western) District Office","(323) 733-8233","http://herbwesson.com/contact/","1819 S Western Ave Los Angeles, CA 90006","1819 S Western Avenue","Los Angeles","CA","90006","34.04114","-118.30921"
"City Building","Council District 9: Ninth District Neighborhood City Hall","(323) 846-2651","http://www.the-new-ninth.com/contact","4301 S Central Ave Los Angeles, CA 90011","4301 S Central Avenue","Los Angeles","CA","90011","34.00556","-118.25676"
"City Building","Council District 4: Toluca Lake/Cahuenga Pass Field Office","(323) 851-2121","http://davidryu.lacity.org/contact","3330 Cahuenga Bl West, Suite 505 Los Angeles, CA 90068","3330 Cahuenga Boulevard West","Los Angeles","CA","90068","34.130985","-118.350611"
"City Building","Council District 5: West Los Angeles Field Office","(323) 866-1828","http://www.councilmemberpaulkoretz.com/contact-us/western-district-office","6380 Wilshire Blvd Suite 8000 Los Angeles, CA 90035","6380 Wilshire Boulevard","Los Angeles","CA","90035","34.063475","-118.368261"
"City Building","Council District 4: Hollywood Field Office","(323) 957-6415","http://davidryu.lacity.org/contact","6501 Fountain Ave Los Angeles, CA 90028","6501 Fountain Avenue","Los Angeles","CA","90028","34.094499","-118.33049"
"City Building","Council District 7: Sunland-Tujunga District Office","(818) 352-3287","http://www.monicarodriguez.org/contact","7747 Foothill Blvd Tujunga CA, 91042","7747 Foothill Boulevard","Tujunga","CA","91042","34.257767","-118.301078"
"City Building","Council District 7: Pacoima Office","(818) 485-0600","http://www.monicarodriguez.org/contact","13520 Van Nuys Blvd Ste 209 Pacoima, CA 91331","13520 Van Nuys Boulevard","Pacoima","CA","91331","34.261917","-118.427519"
"City Building","Council District 4: Sherman Oaks Field Office","(818) 728-9924","http://davidryu.lacity.org/contact","14930 Ventura Blvd, Suite 210 Sherman Oaks, CA 91403","14930 Ventura Boulevard","Sherman Oaks","CA","91403","34.152371","-118.458493"
"City Building","Council District 2: North Hollywood District Office","(818) 755-7676","http://www.paulkrekorian.org/connect","5240 N Lankershim Blvd Suite 200 North Hollywood, CA 91601","5240 N Lankershim Boulevard","North Hollywood","CA","91601","34.1661","-118.37509"
"City Building","Van Nuys Civic Center","(818) 756-8121","http://www.lacity.org/","14410 Sylvan Street, Van Nuys, CA 91401","14410 Sylvan Street","Van Nuys","CA","91401","34.184573","-118.446871"
"City Building","Council District 7: Sylmar Office","(818) 756-8409","http://www.monicarodriguez.org/contact","14117 Hubbard St Unit D1 Sylmar CA, 91342","14117 Hubbard Street","Sylmar","CA","91342","34.298497","-118.440629"
"City Building","Council District 6: Sun Valley Office","(818) 771-0236","http://www.nury-martinez.com/sixth_district_team","9300 Laurel Canyon Blvd, 2nd Floor, Sun Valley, CA 91331","9300 Laurel Canyon Boulevard","Sun Valley","CA","91331","34.238426","-118.410302"
"City Building","Council District 3: District Office","(818) 774-4330","http://blumenfield.lacity.org/get_connected","19040 Vanowen St Reseda, CA 91335","19040 Vanowen Street","Reseda","CA","91335","34.193679","-118.548554"
