"fiscal_year","fiscal_month_name","department_name","account_name","expenditures","fund_name","account_group_name","account_group","fiscal_month_number","fiscal_period","fund","department","account"
"2018","FEBRUARY","CITY CLERK","REWARDS","2000","VANDALISM & GRAFFITI REWARD TR",,,"8","201808","870","14","140209"
"2018","JANUARY","CITY CLERK","REWARDS","8000","VANDALISM & GRAFFITI REWARD TR",,,"7","201807","870","14","140209"
"2018","NOVEMBER","CITY CLERK","REWARDS","5000","VANDALISM & GRAFFITI REWARD TR",,,"5","201805","870","14","140209"
"2018","OCTOBER","CITY CLERK","REWARDS","3000","VANDALISM & GRAFFITI REWARD TR",,,"4","201804","870","14","140209"
"2017","AUGUST","CITY CLERK","REWARDS","3000","VANDALISM & GRAFFITI REWARD TR",,,"2","201702","870","14","140209"
"2016","OCTOBER","CITY CLERK","REWARDS","1000","VANDALISM & GRAFFITI REWARD TR",,,"4","201604","870","14","140209"
"2016","AUGUST","CITY CLERK","REWARDS","1000","VANDALISM & GRAFFITI REWARD TR",,,"2","201602","870","14","140209"
"2015","AUGUST","CITY CLERK","REWARDS","1000","VANDALISM & GRAFFITI REWARD TR",,,"2","201502","870","14","140209"
"2014","DECEMBER","CITY CLERK","REWARDS","1000","VANDALISM & GRAFFITI REWARD TR",,,"6","201406","870","14","140209"
"2014","AUGUST","CITY CLERK","REWARDS","4000","VANDALISM & GRAFFITI REWARD TR",,,"2","201402","870","14","140209"
"2013","MARCH","CITY CLERK","REWARDS","3000","VANDALISM & GRAFFITI REWARD TR",,,"9","201309","870","14","140209"
"2013","NOVEMBER","CITY CLERK","REWARDS","1000","VANDALISM & GRAFFITI REWARD TR",,,"5","201305","870","14","140209"
"2013","OCTOBER","CITY CLERK","REWARDS","4000","VANDALISM & GRAFFITI REWARD TR",,,"4","201304","870","14","140209"
"2013","JULY","CITY CLERK","REWARDS","1000","VANDALISM & GRAFFITI REWARD TR",,,"1","201301","870","14","140209"
"2012","JUNE","CITY CLERK","REWARDS","4000","VANDALISM & GRAFFITI REWARD TR",,,"12","201212","870","14","140209"
"2012","MARCH","CITY CLERK","REWARDS","1000","VANDALISM & GRAFFITI REWARD TR",,,"9","201209","870","14","140209"
"2012","FEBRUARY","CITY CLERK","REWARDS","8000","VANDALISM & GRAFFITI REWARD TR",,,"8","201208","870","14","140209"
"2012","NOVEMBER","CITY CLERK","REWARDS","1000","VANDALISM & GRAFFITI REWARD TR",,,"5","201205","870","14","140209"
"2012","OCTOBER","CITY CLERK","REWARDS","2000","VANDALISM & GRAFFITI REWARD TR",,,"4","201204","870","14","140209"
"2012","AUGUST","CITY CLERK","REWARDS","7000","VANDALISM & GRAFFITI REWARD TR",,,"2","201202","870","14","140209"
