"fiscal_year","fund_number","fund_name","adopted_budget","budget_amendments","total_budget","beginning_cash","collected_revenue","cash_expenses","other_cash_changes","ending_cash_balance","assets","liabilities","fund_balance","last_expense_recorded","fund_category","fund_group","fund_type","function","department_number","administering_department","fund_purpose","sources_of_funds","eligible_uses","date_fund_established","council_file_number","council_file_link","ordinance_number","code_section","replacement_of_general_funds","overhead_costs_reimbursement","interest_to_general_fund","general_fund_reversion","budget_schedule_number","budget_schedule_name","inactive_fund_close","council_district","grant_project","contact_name","contact_telephone","contact_email","years_since_last_expenditure","idle_fund_notes","idle_fund_recommendations","idle","capital_project"
"2018","59K","Grand Avenue Hotel Project","0","0","0","0","0","0","0","0",,,"0",,"Special Purpose Fund","Governmental","General Fund","Economic Development","10","City Administrative Officer","For the receipt, retention and disbursement of all monies apportioned by the Mayor and City Council as hotel development incentive payments for the development of the Grand Avenue Hotel Project.","Yearly appropriations from the General Fund","In accordance with the Hotel Development Incentive Agreement (HDIA) between the City and Core/Related Grand Ave Owner, LLC.","6/10/2017","13-1694-S2","https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=13-1694-S2","184870","Administrative Code Section 5.573","Not Applicable","Not Applicable","No","No","No",,"No","14","false","Melissa Fleming","(213) 978-7684","melissa.fleming@lacity.org",,,,,
"2018","101","Reserve","0","0","0","261527761.2","2123109.89","99571020.53","111771851.6","275851702.2","549197156.4","22774261.72","526422894.7","10/11/2018","General Fund","Governmental","General Fund","Other","62","General","Funding for unanticipated expenditures and revenue shortfalls in the General Fund.","The City Council shall annually allocate not less than two and three-fourths percent of all General Fund receipts into the Emergency Reserve Account; all Reserve Fund monies over and above that amount shall be allocated to the Contingency Reserve Account.","Funding for unanticipated expenditures and revenue shortfalls in the City's General Fund. The Council shall by ordinance establish policies for the use of the Contingency Reserve Account. The Emergency Reserve Account shall require a two-thirds vote of the City Council with the concurrence of the Mayor to be used for urgent economic necessity.",,"98-0459","https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=98-0459",,,"Not Applicable","Not Applicable","No","Not Applicable","No",,"No","ALL","false","Arnil Aguilar","(213) 978-7200","arnil.aguilar@lacity.org",,,,,
"2018","102","Budget Stabilization","0","0","0","94739387.04","1703598.71","0","0","96442985.75","96442985.75","0","96442985.75","10/11/2018","General Fund","Governmental","General Fund","Other","62","General","Records over budget savings when revenues are strong to protect services during revenue downturns","Transfer from the General Fund annually when revenues exceed budgeted estimates","Savings accrued in the Budget Stabilization Fund (BSF) would be available to supplement the budget for primarily one-time purposes, with the highest priority to be funding deferred expenditures from prior fiscal years. BSF funds can only be used during fiscal years when actual revenues are less than projected revenue target at the time of budget adoption","7/1/2009","09-0600","https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=09-0600",,,"Not Applicable","Not Applicable","No","Not Applicable","No",,"No","ALL","false","Arnil Aguilar","(213) 978-7200","arnil.aguilar@lacity.org",,,,,
"2018","105","Innovation","245507","421443","666950","1225695.57","1012978.95","542317.99","-25000","1671356.53","1671356.53","0","1671356.53","10/22/2018","Special Purpose Fund","Governmental","General Fund","Economic Development","10","City Administrative Officer","Funds loans for projects to improve the quality, efficiency & effectiveness of City services; accounts for gifts","General Fund and other contributions","Innovation Commission to approve loans to departments and to pay for administrative expenses of the Commission","11/3/2014","14-0600-S49","https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=14-0600-S49","183231",,"Not Applicable","Not Applicable","No","No","29","Allocations from Other Governmental Agencies and Sources","No","ALL","false","Melissa Fleming","(213) 978-7684","melissa.fleming@lacity.org",,,,,
"2018","121","2008 TRAN Proceeds","1108577707","400000000","1508577707","14600000","1485713430","1485711440","-14601989.93","0","0","13000000","-13000000","10/11/2018","General Fund","Governmental","General Fund","Other","10","City Administrative Officer","For the purposes of depositing and disbursing the sale of note proceeds for each TRAN issuance.","Sale of Notes","The proceeds of the Notes will be used to provide cash flow management for revenues and expenditures of the City's General Fund for the given fiscal year and to pre-pay the City's annual pension obligations.","7/8/2008","08-0600-S2","https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=08-0600-S2","179986",,"No","No","No","Yes","Yes",,"No","ALL","false","Melissa Fleming","(213) 978-7684","melissa.fleming@lacity.org",,,,,
"2018","154","GO Bonds Election 1989 Branch Library Facilities Construction","0","0","0","1070.52","12.27","0","0","1082.79","1082.79","0","1082.79","10/11/2018","Special Purpose Fund","Governmental","Capital Projects","Arts/Culture/Tourism","50","Engineering","Receive and disburse monies from GO Bonds to pay for costs associated with the Branch Library Facilities Projects","GO Bonds","Acquisition, construction and rehabilitation of branch library facilities located throughout the City.","6/30/1987","88-1209","https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=88-1209","165842",,"No","Yes","No","No","No",,"No","ALL","false","Robert Kadomatsu","(213) 485-4944","robert.kadomatsu@lacity.org","7+","Interest only revenue; old General Obligation Bond","Department should identify eligible uses for these funds","true",
"2018","155","GO Bonds Election 1989 Police Facilities Construction","0","0","0","74339.91","804.73","0","0","75144.64","75144.64","0","75144.64","10/11/2018","Special Purpose Fund","Governmental","Capital Projects","Public Safety","50","Engineering","Receive and disburse monies from GO Bonds to pay for costs associated with the Police Facilities Projects","1989 Police GO Bonds","The acquisition, expansion, construction and/or renovation of police facilities.","6/30/1987","88-1209","https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=88-1209","165842",,"No","Yes","No","No","No",,"No","ALL","false","Robert Kadomatsu","(213) 485-4944","robert.kadomatsu@lacity.org","6","Interest only income since 2013; old General Obligation Bonds.","Department should identify eligible uses for these funds","true",
"2018","156","GO Bonds Election 1989 Fire Safety Improvements Construction","0","172142.96","172142.96","191838.41","2077.09","0","0","193915.5","193915.5","0","193915.5","10/11/2018","Special Purpose Fund","Governmental","Capital Projects","Public Safety","50","Engineering","Receive and disburse monies from GO Bonds to pay for costs associated with the Fire Safety Improvement Projects","GO Bonds","The design and construction of fire sprinklers and fire life safety systems, asbestos removal, handicapped access, and related costs, for the six pre-1974 municipal buildings over 75 feet tall.","6/30/1987","88-1209","https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=88-1209","165842",,"No","Yes","No","No","No",,"No","ALL","false","Robert Kadomatsu","(213) 485-4944","robert.kadomatsu@lacity.org",,,,,
"2018","163","GO Bonds Series 1991A Fire Safety Improvement Projects Construction","0","0","0","134266.85","1453.72","0","0","135720.57","135720.57","0","135720.57","10/11/2018","Special Purpose Fund","Governmental","Capital Projects","Public Safety","50","City Administrative Officer","For the purpose of receiving and disbursing bond proceeds","Fire Life Safety GO Bond","The design and construction of fire sprinklers and fire life safety systems, asbestos removal, handicapped access, and related costs, for the six pre-1974 municipal buildings over 75 feet tall (City Hall, City Hall South, City Hall East, Parker Center, Van Nuys City Hall, San Pedro City Hall).","6/30/1987","91-1121","https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=91-1121","167101",,"No","Yes","No","No","No",,"No","ALL","false","Melissa Fleming","(213) 978-7684","melissa.fleming@lacity.org",,,,,
"2018","168","GO Bonds Series 1992A Police Facilities Construction","0","0","0","367856.62","3983.03","0","0","371839.65","371839.65","0","371839.65","10/11/2018","Special Purpose Fund","Governmental","Capital Projects","Public Safety","50","Engineering","Receive and disburse monies from GO Bonds to pay for costs associated with the Police Facilities Projects","92 Police GO Bond","The acquisition, expansion, construction and/or renovation of police facilities.","8/6/1992","92-1154","https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=92-1154","168062",,"No","Yes","No","No","No",,"No","ALL","false","Robert Kadomatsu","(213) 485-4944","robert.kadomatsu@lacity.org",,,,,
