"fiscal_year","department_name","revenue_source_name","revenue_budget","revenue_collected","revenue_collected_pct","fund_name","revenue_class_name","fund","revenue_source_code","revenue_class_code"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","SEWER SERVICE CHARGE-CAPITAL",,"235398681.22",,"SEWER CONSTRUCTION&MAINTENANCE","SEWER SERVICE REVENUES","208","4392","439"
"2015","PUBLIC WORKS - ENGINEERING","REIMB PROP O STORM WATER CLEAN","887287",,,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5323","530"
"2014","NON-DEPARTMENTAL - GENERAL","ELECTRICITY USER'S TAX","342717000","331306804.64","96.67","GENERAL FUND (GENERAL BUDGET)","UTILITY USERS TAXES","100","3102","310"
"2016","INFORMATION TECHNOLOGY AGENCY","REIMB OF PRIOR YEAR SALARY",,"893.83",,"GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5168","516"
"2015","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","REIMB OF RELATED COST-PR YR",,"155421",,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5331","530"
"2015","NON-DEPARTMENTAL - GENERAL","PROPERTY TAX-CURRENT-SECURED","1015317000","1077782988.32","106.15","GENERAL FUND (GENERAL BUDGET)","PROPERTY TAXES-SECURED & UNSEC","100","3011","301"
"2015","NON-DEPARTMENTAL - GENERAL","PARKING FINES","165191457","152292373.34","92.19","GENERAL FUND (GENERAL BUDGET)","VEHICLE CODE FINES","100","4801","480"
"2015","PUBLIC WORKS - CONTRACT ADMINISTRATION","B PERMITS","2000000",,,"GENERAL FUND (GENERAL BUDGET)","STREETS AND CURB PERMITS","100","3242","324"
"2019","GENERAL SERVICES","INTERFD OPER TRANS-PRIOR YEARS",,"3206389.36",,"GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5629","561"
"2018","CITY ADMINISTRATIVE OFFICER","PLANNING AND LAND USE FEES",,"1294300",,"VERMONT/SNAP PARKS FIRST TRUST","ZONING AND SUBDIVISION FEE","45B","4047","404"
"2016","COUNCIL","ADDL INTERFD TRANS-OTHER FUNDS",,"0",,"STATE AB1290 CITY FUND","ADDL INTERFD OPERATING TRANSFER","53P","5693","569"
"2018","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,"17238270",,"PWR SYST RB 2008 A BD SER FUND","INTERFUND OPERATING TRANSFER","J2B","5654","561"
"2014","NON-DEPARTMENTAL - GENERAL","PROPERTY TAX-CURRENT-SECURED","991080000","1014138623.58","102.33","GENERAL FUND (GENERAL BUDGET)","PROPERTY TAXES-SECURED & UNSEC","100","3011","301"
"2018","GENERAL SERVICES","REIMB-METRO RAIL PROJECT","187950","3119.12","1.66","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5311","530"
"2013","NON-DEPARTMENTAL - HUMAN RESOURCES BENEFITS","EMPLOYEE/EMPLOYER & MISC CONTR",,"210639715.44",,"IRS SEC501 EMPLOYEE BENEF TRUS","RETIREMENT CONTRIBUTIONS","899","5501","550"
"2015","CITY PLANNING","ADDL INTERFD TRANS-RES FD REIMB","200000","200000","100","GENERAL FUND (GENERAL BUDGET)","ADDL INTERFD OPERATING TRANSFER","100","5696","569"
"2019","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","INTEREST INCOME-OTHER",,"840.58",,"ARRA-LA COUNTY TANF SUMMER PRO","INVESTMENT EARNINGS","52Q","4903","490"
"2019","OFFICE OF FINANCE","SEWER CONS & MAIN RELATED COST","400197","400197","100","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5328","530"
"2017","BUILDING AND SAFETY","COLLECTION FEE",,"40978.4099999999",,"BLDG & SAFETY PERMIT ENTERPRIS","MISCELLANEOUS REVENUES","48R","5175","516"
"2021","LIBRARY","STATE LIBRARY GRANTS",,"222850",,"LIBRARY SERVICE TRUST","STATE GRANTS/AGREEMENTS","419","3363","336"
"2019","CITY CLERK","SALE OF REFUSE - OTHERS",,"175621.08",,"LOPEZ CANYON COMMU AMENITIES","SOLID WASTE REVENUE","531","4426","442"
"2015","BUILDING AND SAFETY","BUILDING PLAN CHECK",,"32626999.06",,"BLDG & SAFETY PERMIT ENTERPRIS","PLAN CHECKING FEES","48R","4156","415"
"2016","AGING","OLDER AMERICAN ACTS GRANT",,"132421",,"TITLE VII OLDER AMERICANS ACT","OLDER AMERICAN ACT","564","3621","362"
"2017","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","STREET BANNER PERMITS",,"10125",,"ST LIGHTING MAINTENANCE ASSESS","STREETS AND CURB PERMITS","347","3253","324"
