"fiscal_year","department_name","revenue_source_name","adopted_revenue_budget","amended_revenue_budget","revenue_budget","revenue_collected","revenue_collected_pct","fund_name","revenue_class_name","fund","revenue_source_code","revenue_class_code","department"
"2015","WATER AND POWER","DEPOSIT RECEIPTS-AGENCY FUNDS",,,,"5987227946.08001",,"POWER REVENUE","MISCELLANEOUS REVENUES","704","5166","516","98"
"2015","WATER AND POWER","DEPOSIT RECEIPTS-AGENCY FUNDS",,,,"2731102129.91",,"WATER REVENUE","MISCELLANEOUS REVENUES","705","5166","516","98"
"2015","AIRPORTS","DEPOSIT RECEIPTS-AGENCY FUNDS",,,,"1691948498.68",,"AIRPORT REVENUE","MISCELLANEOUS REVENUES","700","5166","516","4"
"2015","CITY ADMINISTRATIVE OFFICER","DEBT PROCEEDS - SHORT TERM",,,,"1386483310",,"TX REV ANTICIP NOTE PROC","DEBT PROCEEDS","121","5601","560","10"
"2015","NON-DEPARTMENTAL - GENERAL","PROPERTY TAX-CURRENT-SECURED","1015317000",,"1015317000","1077782988.32","106.15","GENERAL FUND (GENERAL BUDGET)","PROPERTY TAXES-SECURED & UNSEC","100","3011","301","62"
"2015","OFFICE OF FINANCE","INTERFD OPER TRANS-GENERAL  FUND",,,,"1038882250",,"TX REV ANTICIP NOTE DEBT","INTERFUND OPERATING TRANSFER","P15","5624","561","39"
"2015","WATER AND POWER","DEPOSIT RECEIPTS-AGENCY FUNDS",,,,"898954132.29",,"WATER/POWER RETIREMENT","MISCELLANEOUS REVENUES","809","5166","516","98"
"2015","HARBOR","DEPOSIT RECEIPTS-AGENCY FUNDS",,,,"748154647.21",,"HARBOR REVENUE","MISCELLANEOUS REVENUES","702","5166","516","42"
"2015","WATER AND POWER","DEPOSIT RECEIPTS-AGENCY FUNDS",,,,"526049161.71",,"POWER SYSTEM REVENUE BONDS 2014 SERIES D, CONSTRUCTION FUND","MISCELLANEOUS REVENUES","J6T","5166","516","98"
"2015","NON-DEPARTMENTAL - GENERAL","BUSINESS TAX","459500000",,"459500000","479851541.58","104.43","GENERAL FUND (GENERAL BUDGET)","BUSINESS TAX","100","3081","308","62"
"2015","PENSION","RETIREMENT CONTRIBUTION-EMPLOYER",,,,"440298002",,"FIRE & POLICE TIER 5 GENERAL P","RETIREMENT CONTRIBUTIONS","916","5502","550","64"
"2015","CITY EMPLOYEES RETIREMENT SYSTEM","RETIREMENT CONTRIBUTION-EMPLOYER",,,,"410808207",,"CITY EMPLOYEES RETIREMENT","RETIREMENT CONTRIBUTIONS","800","5502","550","16"
