"category","indicator","sub_indicator","locality","gender","council_district","fiscal_year","fy_qtr","calendar_year","cy_qtr","quarter_start","as_of_date","unit_of_measure","unit_text","value","source"
"BUILDING PERMITS","MIX-USE PERMIT VALUES",,"LOS ANGELES CITY",,"CITY TOTAL","2014","2014-03","2014","2014-01","1-1-2014","04-11-2017","$","SEASONALLY ADJUSTED AND SMOOTHED","229500000","CITY OF LOS ANGELES DEPARTMENT OF BUILDING AND SAFETY"
"TAXABLE SALES","TAXABLE SALES BY SECTOR","CLOTHING AND CLOTHING ACCESSORIES STORES","LOS ANGELES COUNTY",,,"2013","2013-03","2013","2013-01","1-1-2013","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","2485844.7","BOARD OF EQUALIZATION"
"EMPLOYMENT","TOTAL EMPLOYMENT","TOTAL ALL INDUSTRIES","LOS ANGELES CITY",,"6","2014","2014-03","2014","2014-01","1-1-2014","04-11-2017","#","SEASONALLY ADJUSTED","79722","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"EMPLOYMENT","ESTABLISHMENT CHANGE BY INDUSTRY","MANUFACTURING","LOS ANGELES CITY",,"10","2013","2013-01","2012","2012-03","7-1-2012","04-11-2017","#",,"0","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"EMPLOYMENT","ESTABLISHMENT CHANGE BY INDUSTRY","EDUCATION/HEALTH","LOS ANGELES CITY",,"12","2014","2014-02","2013","2013-04","10-1-2013","04-11-2017","#",,"23","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"EMPLOYMENT","ESTABLISHMENT CHANGE BY INDUSTRY","RETAIL TRADE","LOS ANGELES COUNTY",,,"2003","2003-04","2003","2003-02","4-1-2003","04-11-2017","#",,"-4","QUARTERLY CENSUS OF EMPLOYMENT AND WAGES"
"DEMOGRAPHICS","EDUCATIONAL ATTAINMENT BY GENDER","LESS THAN HIGH SCHOOL","LOS ANGELES CITY","MALE","3",,,"2013",,,"04-11-2017","#","POPULATION 25 YEARS AND OVER","18557.305","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","POPULATION BY AGE GROUP","35 TO 54 YEARS","LOS ANGELES COUNTY",,,,,"2013",,,"04-11-2017","#",,"2783497","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"EMPLOYMENT","EMPLOYMENT BY ESTABLISHMENT SIZE","LESS THAN 50 EMPLOYEES","LOS ANGELES CITY",,"1","2009","2009-02","2008","2008-04","10-1-2008","04-11-2017","#","SEASONALLY ADJUSTED","27508","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"EMPLOYMENT","TOTAL PRIVATE EMPLOYMENT","TOTAL ALL INDUSTRIES","LOS ANGELES CITY",,"10","2014","2014-03","2014","2014-01","1-1-2014","04-11-2017","#","SEASONALLY ADJUSTED","65960","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"EMPLOYMENT","PRIVATE EMPLOYMENT BY INDUSTRY","WHOLESALE TRADE","LOS ANGELES CITY",,"14","2011","2011-03","2011","2011-01","1-1-2011","04-11-2017","#","SEASONALLY ADJUSTED","23958","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"EMPLOYMENT","PRIVATE EMPLOYMENT BY INDUSTRY","WHOLESALE TRADE","LOS ANGELES COUNTY",,,"1999","1999-03","1999","1999-01","1-1-1999","04-11-2017","#","SEASONALLY ADJUSTED","217754","QUARTERLY CENSUS OF EMPLOYMENT AND WAGES"
"HOTELS","OCCUPANCY",,"LOS ANGELES COUNTY",,,,,"2011",,,"04-11-2017","%",,"75.190002","PKF CONSULTING"
"EMPLOYMENT","PRIVATE EMPLOYMENT BY INDUSTRY","EDUCATION/HEALTH","LOS ANGELES COUNTY",,,"1992","1992-03","1992","1992-01","1-1-1992","04-11-2017","#","SEASONALLY ADJUSTED","368067.5","QUARTERLY CENSUS OF EMPLOYMENT AND WAGES"
"EMPLOYMENT","EMPLOYMENT BY ESTABLISHMENT WAGE","$25,000 TO $50,000","LOS ANGELES CITY",,"9","2012","2012-01","2011","2011-03","7-1-2011","04-11-2017","#","SEASONALLY ADJUSTED","15722","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"EMPLOYMENT","ESTABLISHMENT CHANGE BY INDUSTRY","FIN. SVCS. AND REAL ESTATE","LOS ANGELES COUNTY",,,"2007","2007-03","2007","2007-01","1-1-2007","04-11-2017","#",,"81","QUARTERLY CENSUS OF EMPLOYMENT AND WAGES"
"EMPLOYMENT","ESTABLISHMENT CHANGE BY INDUSTRY","WHOLESALE TRADE","LOS ANGELES CITY",,"5","2010","2010-02","2009","2009-04","10-1-2009","04-11-2017","#",,"-6","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"EMPLOYMENT","PRIVATE EMPLOYMENT BY INDUSTRY","OTHER SVCS.","LOS ANGELES COUNTY",,,"2010","2010-01","2009","2009-03","7-1-2009","04-11-2017","#","SEASONALLY ADJUSTED","258747.4","QUARTERLY CENSUS OF EMPLOYMENT AND WAGES"
"DEMOGRAPHICS","POPULATION BY AGE GROUP","35 TO 54 YEARS","LOS ANGELES CITY",,"7",,,"2013",,,"04-11-2017","#",,"72889.501","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"BUILDING PERMITS","MULTI-FAMILY PERMITS",,"LOS ANGELES CITY",,"6","2009","2009-02","2008","2008-04","10-1-2008","04-11-2017","#","SEASONALLY ADJUSTED AND SMOOTHED","77.7","CITY OF LOS ANGELES DEPARTMENT OF BUILDING AND SAFETY"
"TAXABLE SALES","TAXABLE SALES BY SECTOR","CLOTHING AND CLOTHING ACCESSORIES STORES","LOS ANGELES COUNTY",,,"2000","2000-04","2000","2000-02","4-1-2000","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","918751","BOARD OF EQUALIZATION"
