"fiscal_year","fiscal_month_name","expenditures","fund_name","fiscal_month_number","fund"
"2012","JULY","409065196.69","GENERAL FUND (GENERAL BUDGET)","1","100"
"2012","JULY","3457105.64","RESERVE","1","101"
"2012","JULY","769695960","TX REV ANTICIP NOTE PROC","1","121"
"2012","JULY","431623.79","GOB SERIES 2001A FIRE/PR CONST","1","15H"
"2012","JULY","388607.71","GOB SERIES 2002A ZOO IMP CONST","1","15K"
"2012","JULY","30000","GOB SERIES 2002A ANIM SH CONST","1","15L"
"2012","JULY","16516.64","GOB SERIES 2002A 911/P/F CONST","1","15N"
"2012","JULY","36907.70","GOB SERIES 2003A ANIM SH CONST","1","15S"
"2012","JULY","631.58","GOB SERIES 2003A FIRE/PR CONST","1","15T"
"2012","JULY","90494.39","GOB SERIES 2004A 911/P/F CONST","1","16A"
"2012","JULY","30959.48","GOB SERIES 2005A FIRE/PARA CON","1","16D"
"2012","JULY","168998.84","GOB SERIES 2006A FIRE/PARA CON","1","16J"
"2012","JULY","150174.40","GOB 2008A CLEAN WATER CLEANUP","1","16Q"
"2012","JULY","228095.78","GOB 2009 CLEAN WATER CLEANUP","1","16T"
"2012","JULY","167784.67","GOB SER 95A P.W. PROJ CONSTRUC","1","189"
"2012","JULY","1211.76","GOB SER99B ZOO IMPR CONSTRUCTN","1","199"
"2012","JULY","-79315.52","RECREATION & PARKS GRANT","1","205"
"2012","JULY","6463312.43","SPECIAL GAS TAX ST IMPROV","1","206"
"2012","JULY","110780.80","LOCAL TRANSPORTATION","1","207"
"2012","JULY","37357824.46","SEWER CONSTRUCTION&MAINTENANCE","1","208"
"2012","JULY","331823.81","MICLA REV BDS 2009-D CONST FD","1","26G"
"2012","JULY","1156050.19","MICLA LEASE REV COM PAPER NTES","1","298"
"2012","JULY","417519.11","ARRA-MICLA CP SPECIAL FUNDNTES","1","299"
"2012","JULY","4185521.57","LIBRARY","1","300"
"2012","JULY","606579.56","MUNICIPAL SPORTS ACCOUNT","1","301"
"2012","JULY","15401817.78","RECREATION AND PARKS","1","302"
"2012","JULY","997689.31","SUBVENTIONS AND GRANTS","1","305"
"2012","JULY","894843.67","TRAFFIC SAFETY","1","306"
"2012","JULY","36287.82","FIRE DEPT GRANT","1","335"
"2012","JULY","33300","CULTURAL AFFAIRS GRANT","1","337"
"2012","JULY","235410.97","POLICE DEPT GRANT","1","339"
"2012","JULY","30063.73","TELECOM LIQ DMGE &LOST FR FEES","1","342"
"2012","JULY","61252.76","REPAIR & DEMOLITION","1","346"
"2012","JULY","2305958.10","ST LIGHTING MAINTENANCE ASSESS","1","347"
"2012","JULY","34771","UDAG REVENUE FUND","1","356"
"2012","JULY","2326555.01","SPECIAL PARKING REVENUE","1","363"
"2012","JULY","101126.76","CITY ATTORNEY GRANTS","1","368"
"2012","JULY","3905276.43","PROPOSITION A LOCAL TRANSIT","1","385"
"2012","JULY","5793.77","EMERGENCY OPERATIONS FUND","1","392"
"2012","JULY","334302","AREA PLAN FOR THE AGING TIT 7","1","395"
"2012","JULY","1523602","ZOO ENTERPRISE TRUST FUND","1","40E"
"2012","JULY","8591.87","LAFD SPECIAL TRAINING FUND","1","40J"
"2012","JULY","27194.01","LARCHMONT VILLAGE BUS IMPROVE","1","40T"
"2012","JULY","108846","OTHER PROGRAMS FOR THE AGING","1","410"
