"fiscal_year","department_name","revenue_source_name","adopted_revenue_budget","amended_revenue_budget","revenue_budget","revenue_collected","revenue_collected_pct","fund_name","revenue_class_name","fund","revenue_source_code","revenue_class_code"
"2015","NON-DEPARTMENTAL - GENERAL","PROPERTY TAX-CURRENT-SECURED","1015317000",,"1015317000","1077782988.32","106.15","GENERAL FUND (GENERAL BUDGET)","PROPERTY TAXES-SECURED & UNSEC","100","3011","301"
"2015","NON-DEPARTMENTAL - GENERAL","BUSINESS TAX","459500000",,"459500000","479851541.58","104.43","GENERAL FUND (GENERAL BUDGET)","BUSINESS TAX","100","3081","308"
"2015","NON-DEPARTMENTAL - GENERAL","SALES & USE TAX","374100000",,"374100000","371031099.18","99.18","GENERAL FUND (GENERAL BUDGET)","SALES AND USE TAXES","100","3051","305"
"2015","NON-DEPARTMENTAL - GENERAL","PROP TAX-VLF REPLACEMENT","358490000",,"358490000","361671984","100.89","GENERAL FUND (GENERAL BUDGET)","PROPERTY TAXES-SECURED & UNSEC","100","3018","301"
"2015","NON-DEPARTMENTAL - GENERAL","ELECTRICITY USER'S TAX","352000000",,"352000000","363716274.05","103.33","GENERAL FUND (GENERAL BUDGET)","UTILITY USERS TAXES","100","3102","310"
"2015","NON-DEPARTMENTAL - GENERAL","INTERFD OPER TRANS-POWER","261000000",,"261000000","265586000","101.76","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5611","561"
"2015","NON-DEPARTMENTAL - GENERAL","TELEPHONE USER'S TAX","209650000",,"209650000","207032336.31","98.75","GENERAL FUND (GENERAL BUDGET)","UTILITY USERS TAXES","100","3101","310"
"2015","NON-DEPARTMENTAL - GENERAL","TRANSIENT OCCUPANCY TAX","194100000",,"194100000","202896604.1","104.53","GENERAL FUND (GENERAL BUDGET)","OTHER TAXES","100","3112","311"
"2015","NON-DEPARTMENTAL - GENERAL","DOCUMENTARY TRANSFER TAX","191520000",,"191520000","180986097.82","94.5","GENERAL FUND (GENERAL BUDGET)","OTHER TAXES","100","3111","311"
"2015","NON-DEPARTMENTAL - GENERAL","PARKING FINES","165191457",,"165191457","152292373.34","92.19","GENERAL FUND (GENERAL BUDGET)","VEHICLE CODE FINES","100","4801","480"
"2015","NON-DEPARTMENTAL - GENERAL","PROP TAX-SALES TAX REPLACEMENT","126600000",,"126600000","121903461.55","96.29","GENERAL FUND (GENERAL BUDGET)","PROPERTY TAXES-SECURED & UNSEC","100","3017","301"
"2015","NON-DEPARTMENTAL - GENERAL","INTERFD OPER TRANS-RESERVE","117546306",,"117546306","117546306","100","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5613","561"
"2015","PUBLIC WORKS - SANITATION","INTERFD OPER TRANS-SEWER CONS","111151827",,"111151827","105701254.16","95.1","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5615","561"
"2015","NON-DEPARTMENTAL - GENERAL","PARKING OCCUPANCY TAX","98400000",,"98400000","100369513.3","102","GENERAL FUND (GENERAL BUDGET)","OTHER TAXES","100","3113","311"
"2015","PUBLIC WORKS - SANITATION","INTERFD OPER TRANS-SOLID WASTE","88963963","-33640","88930323","86623316.45","97.41","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5634","561"
"2015","PUBLIC WORKS - STREET SERVICES","INTERFD OPER TRANS-SP GAS TAX","88765634","-400000","88365634","88365634","100","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5627","561"
"2015","BUILDING AND SAFETY","INTERFD OPER TRANS-BLDG&SAFETY ENTRPRSE","78815420",,"78815420","68886306.46","87.4","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5656","561"
"2015","NON-DEPARTMENTAL - GENERAL","GAS USER'S TAX","70200000",,"70200000","68642558.97","97.78","GENERAL FUND (GENERAL BUDGET)","UTILITY USERS TAXES","100","3103","310"
"2015","FIRE","EMERGENCY AMBULANCE SERVICES","70000000",,"70000000","71961588.65","102.8","GENERAL FUND (GENERAL BUDGET)","FIRST AID & AMBULANCE CHARGES","100","4451","445"
"2015","PUBLIC WORKS - SANITATION","SEWER CONS & MAIN RELATED COST","55355345",,"55355345","55355346","100","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5328","530"
"2015","NON-DEPARTMENTAL - GENERAL","PROPERTY TAX-EX CRA TAX INCREMENT","48023000",,"48023000","52362916.81","109.04","GENERAL FUND (GENERAL BUDGET)","PROPERTY TAXES-SECURED & UNSEC","100","3026","301"
"2015","NON-DEPARTMENTAL - GENERAL","PROPERTY TAX-CURRENT-UNSECUR","46068000",,"46068000","43396028.26","94.2","GENERAL FUND (GENERAL BUDGET)","PROPERTY TAXES-SECURED & UNSEC","100","3012","301"
"2015","GENERAL SERVICES","INTERFD OPER TRANS-SOLID WASTE","45235270",,"45235270","43772861.54","96.77","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5634","561"
"2015","POLICE","INTERFD OPER TRANS-LOCAL PUBLIC SAFETY","36113950",,"36113950","36042419.35","99.8","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5658","561"
"2015","NON-DEPARTMENTAL - GENERAL","COST REIMBURSEMENT FROM LIBRARY","35816389",,"35816389","35816389","100","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5370","530"
"2015","PUBLIC WORKS - ENGINEERING","INTERFD OPER TRANS-SEWER CONS","35398862",,"35398862","30800000","87.01","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5615","561"
"2015","NON-DEPARTMENTAL - GENERAL","PROPERTY TAX-PRIOR-SECURED","34910000",,"34910000","4319756.38","12.37","GENERAL FUND (GENERAL BUDGET)","PROPERTY TAXES-SECURED & UNSEC","100","3013","301"
"2015","BUILDING AND SAFETY","BLDG & SAFETY ENT FND REL COST","34013290",,"34013290","25377965.28","74.61","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5359","530"
"2015","TRANSPORTATION","INTERFD OPER TRANS-PROP C","33855306","-2765.6","33852540.4","33852540.4","100","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5638","561"
"2015","NON-DEPARTMENTAL - GENERAL","COST REIMBURSEMENT FROM REC & PARKS","33802548",,"33802548","33802548","100","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5371","530"
"2015","POLICE","ADDL INTERFD TRANS-RES FD NON REIM",,"32874769","32874769","32874769","100","GENERAL FUND (GENERAL BUDGET)","ADDL INTERFD OPERATING TRANSFER","100","5692","569"
"2015","GENERAL SERVICES","ADDL INTERFD TRANS-OTHER FUNDS",,"31590325.32","31590325.32","13224187.85","41.86","GENERAL FUND (GENERAL BUDGET)","ADDL INTERFD OPERATING TRANSFER","100","5693","569"
"2015","PUBLIC WORKS - STREET SERVICES","GAS TAX PROJECTS","31207343",,"31207343","31207343","100","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5304","530"
"2015","NON-DEPARTMENTAL - GENERAL","PROPERTY TAX-CURRENT SEC SUPPL","30900000",,"30900000","24875916.22","80.5","GENERAL FUND (GENERAL BUDGET)","PROPERTY TAXES-SECURED & UNSEC","100","3015","301"
"2015","NON-DEPARTMENTAL - GENERAL","INTERFD OPER TRANS SP PKG REV","30635342",,"30635342","30635342","100","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5617","561"
"2015","PUBLIC WORKS - SANITATION","SANIT EQUIP CHG ACQ FD REL COST","29483356",,"29483356","29483353","100","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5345","530"
"2015","LOS ANGELES HOUSING","INTERFD OPER TRANS- CODE ENFORCE","27957280","-15082","27942198","24271185.04","86.86","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5648","561"
"2015","NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM","ADDL INTERFD TRANS-RES FD NON REIM",,"27105783.71","27105783.71","10540080.89","38.88","GENERAL FUND (GENERAL BUDGET)","ADDL INTERFD OPERATING TRANSFER","100","5692","569"
