"fiscal_year","vendor_name","dollar_amount","data_source"
"2017","RUSH TRUCK CENTER OF CA INC","32226470.88","SMS"
"2015","HAAKER EQUIPMENT CO","30026588.41","SMS"
"2013","RUSH TRUCK CENTER OF CA INC","26421060.01","SMS"
"2012","SC FUELS","22387873.56","SMS"
"2016","WONDRIES FLEET GRP","21091716.85","SMS"
"2013","SC FUELS","21030430.09","SMS"
"2014","SC FUELS","20714683.38","SMS"
"2015","WONDRIES FLEET GRP","20522932.10","SMS"
"2015","PRIVACY-APPROPRIATIONS TO SPECIAL PURPOSE FUND","20378985.09","SMS"
"2017","PETROCHEM MATERIALS INNOVATION,LLC","20375569.05","SMS"
"2012","PRIVACY-MAYOR","19629076.13","SMS"
"2012","PRIVACY-APPROPRIATIONS TO SPECIAL PURPOSE FUND","18314250.70","SMS"
"2014","PRIVACY-APPROPRIATIONS TO SPECIAL PURPOSE FUND","17857363.61","SMS"
"2013","PRIVACY-MAYOR","17582401.42","SMS"
"2017","PRIVACY-APPROPRIATIONS TO SPECIAL PURPOSE FUND","17407004.21","SMS"
"2013","PRIVACY-APPROPRIATIONS TO SPECIAL PURPOSE FUND","17319989.54","SMS"
"2012","FALCON FUELS INC","17210464.99","SMS"
"2015","SC FUELS","16922166.64","SMS"
"2016","PRIVACY-APPROPRIATIONS TO SPECIAL PURPOSE FUND","16860120.16","SMS"
"2012","RUSH TRUCK CENTER OF CA INC","15393888.57","SMS"
"2016","HAAKER EQUIPMENT CO","15212221.80","SMS"
"2017","AGUSTAWESTLAND PHILADELPHIA CORP","14942213.21","SMS"
"2017","COMPUCOM SYSTEMS","14672920.62","SMS"
"2015","KEY INFORMATION SYSTEMS","14219991.21","SMS"
"2015","COMPUCOM SYSTEMS","14204212.02","SMS"
"2017","HAAKER EQUIPMENT CO","13925719.70","SMS"
"2016","RUSH TRUCK CENTER OF CA INC","13702817.30","SMS"
"2016","SC FUELS","13699624.52","SMS"
"2013","FALCON FUELS INC","13439915.34","SMS"
"2012","SAN JOAQUIN REFINING CO INC","12995099.50","SMS"
"2014","FALCON FUELS INC","12471617.12","SMS"
"2013","SAN JOAQUIN REFINING CO INC","12445177.51","SMS"
"2014","SAN JOAQUIN REFINING CO INC","12082192.02","SMS"
"2017","SC FUELS","11825815.58","SMS"
"2012","AGUSTAWESTLAND PHILADELPHIA CORP","11822347.50","SMS"
"2014","COMPUCOM SYSTEMS","11522723.08","SMS"
"2014","DELL MARKETING L P","11188180.82","SMS"
"2013","RUUD LIGHTING","10591045.98","SMS"
"2013","COMMERCIAL PAVING & COATING","10318899.85","SMS"
"2015","FALCON FUELS INC","10142460.55","SMS"
