"fiscal_year","department_name","vendor_name","dollar_amount","expenditure_type","authority_name"
"2019","WATER AND POWER","SO CALIF PUBLIC PWR AUTH/SCPPA C/O OFFICE OF THE TREASURER","486595023.06","203","203"
"2018","WATER AND POWER","SO CALIF PUBLIC PWR AUTH/SCPPA C/O OFFICE OF THE TREASURER","457090972.37","193","193"
"2017","WATER AND POWER","SO CALIF PUBLIC PWR AUTH/SCPPA C/O OFFICE OF THE TREASURER","407152184.71","172","172"
"2014","WATER AND POWER","METRO WTR DIST OF SO CALIF C/O OFFICE OF THE TREASURER","347176260.51","44","44"
"2020","WATER AND POWER","SO CALIF PUBLIC PWR AUTH/SCPPA C/O OFFICE OF THE TREASURER","342719044.76","142","142"
"2016","WATER AND POWER","SO CALIF PUBLIC PWR AUTH/SCPPA C/O OFFICE OF THE TREASURER","331732124","117","117"
"2013","WATER AND POWER","IPA REV. FUND (3880480) C/O OFFICE OF THE TREASURER","317117156","35","35"
"2015","WATER AND POWER","SO CALIF PUBLIC PWR AUTH/SCPPA C/O OFFICE OF THE TREASURER","307696738.46","102","102"
"2016","WATER AND POWER","METRO WTR DIST OF SO CALIF C/O OFFICE OF THE TREASURER","304884479.66","40","40"
"2015","WATER AND POWER","METRO WTR DIST OF SO CALIF C/O OFFICE OF THE TREASURER","302451524.23","39","39"
"2014","WATER AND POWER","IPA REV. FUND (3880480) C/O OFFICE OF THE TREASURER","296546168","34","34"
"2015","WATER AND POWER","IPA REV. FUND (3880480) C/O OFFICE OF THE TREASURER","288034294","33","33"
"2022","WATER AND POWER","SO CALIF PUBLIC PWR AUTH/SCPPA C/O OFFICE OF THE TREASURER","287535289","115","115"
"2012","WATER AND POWER","IPA REV. FUND (3880480) C/O OFFICE OF THE TREASURER","279601402.20","34","34"
"2012","WATER AND POWER","SO CALIF PUBLIC PWR AUTH/SCPPA C/O OFFICE OF THE TREASURER","275149008","82","82"
"2015","WATER AND POWER","KIEWIT POWER CONSTRUCTORS CO","268766796","46","46"
"2013","WATER AND POWER","METRO WTR DIST OF SO CALIF C/O OFFICE OF THE TREASURER","268688941.59","36","36"
"2019","WATER AND POWER","IPA REV. FUND (3880480) C/O OFFICE OF THE TREASURER","267521282.83","33","33"
"2021","WATER AND POWER","SO CALIF PUBLIC PWR AUTH/SCPPA C/O OFFICE OF THE TREASURER","262486515","112","112"
"2016","WATER AND POWER","IPA REV. FUND (3880480) C/O OFFICE OF THE TREASURER","258657967","34","34"
"2018","WATER AND POWER","WELLS FARGO BANK","252574722.21","41","41"
"2014","WATER AND POWER","SO CALIF PUBLIC PWR AUTH/SCPPA C/O OFFICE OF THE TREASURER","243886609.73","83","83"
"2017","WATER AND POWER","IPA REV. FUND (3880480) C/O OFFICE OF THE TREASURER","241305758","34","34"
"2018","WATER AND POWER","IPA REV. FUND (3880480) C/O OFFICE OF THE TREASURER","211769023","27","27"
"2017","WATER AND POWER","METRO WTR DIST OF SO CALIF C/O OFFICE OF THE TREASURER","207979883.14","29","29"
"2013","WATER AND POWER","SO CALIF PUBLIC PWR AUTH/SCPPA C/O OFFICE OF THE TREASURER","199692335","73","73"
"2020","WATER AND POWER","IPA REV. FUND (3880480) C/O OFFICE OF THE TREASURER","190855654","27","27"
"2022","WATER AND POWER","METRO WTR DIST OF SO CALIF C/O OFFICE OF THE TREASURER","180236795.54","21","21"
"2018","WATER AND POWER","METRO WTR DIST OF SO CALIF C/O OFFICE OF THE TREASURER","178450234.37","25","25"
"2019","WATER AND POWER","METRO WTR DIST OF SO CALIF C/O OFFICE OF THE TREASURER","174492986.55","25","25"
"2015","WATER AND POWER","BARNARD CONST. CO C/O OFFICE OF THE TREASURER","173291354.14","32","32"
"2012","WATER AND POWER","GE PACKAGED POWER INC","169878375.91","37","37"
"2017","WATER AND POWER","WELLS FARGO BANK","151370230.66","35","35"
"2016","WATER AND POWER","BARNARD CONST. CO C/O OFFICE OF THE TREASURER","148071581.55","27","27"
"2019","WATER AND POWER","IBEW LOCAL 18 HEALTH AND WELFARE TRUST","145395638.64","48","48"
"2014","WATER AND POWER","GENERAL ELECTRIC COMPANY","141220865.80","24","24"
"2012","WATER AND POWER","METRO WTR DIST OF SO CALIF C/O OFFICE OF THE TREASURER","140972990.53","18","18"
"2022","WATER AND POWER","IPA REV. FUND (3880480) C/O OFFICE OF THE TREASURER","139867178","18","18"
"2018","WATER AND POWER","IBEW LOCAL 18 HEALTH AND WELFARE TRUST","137731495.24","46","46"
"2014","WATER AND POWER","KIEWIT POWER CONSTRUCTORS CO","135568854.0","26","26"
"2014","WATER AND POWER","UAMPS (UTAH ASSOC.MUNCIP PWR SYSTEMS)","135459173.2","34","34"
"2013","WATER AND POWER","UAMPS (UTAH ASSOC.MUNCIP PWR SYSTEMS)","131590458.10","36","36"
"2017","WATER AND POWER","IBEW LOCAL 18 HEALTH AND WELFARE TRUST","131145433.61","38","38"
"2017","WATER AND POWER","SCPPA C/O OFFICE OF THE TREASURER","128359734.79","60","60"
"2015","WATER AND POWER","UAMPS (UTAH ASSOC.MUNCIP PWR SYSTEMS)","125438669.74","35","35"
"2013","WATER AND POWER","KIEWIT POWER CONSTRUCTORS CO","122189992","18","18"
"2018","WATER AND POWER","SCPPA C/O OFFICE OF THE TREASURER","121067362.14","60","60"
"2021","WATER AND POWER","IPA REV. FUND (3880480) C/O OFFICE OF THE TREASURER","121019266","17","17"
"2019","WATER AND POWER","KAISER FOUNDATION HLT PLAN,INC C/O OFFICE OF THE TREASURER","120204983.99","36","36"
"2016","WATER AND POWER","IBEW LOCAL 18 HEALTH AND WELFARE TRUST","119810608.52","36","36"
"2015","WATER AND POWER","SALT RIVER PROJECT C/O OFFICE OF THE TREASURER","118340506.11","38","38"
"2016","WATER AND POWER","SCPPA C/O OFFICE OF THE TREASURER","117690430.24","55","55"
"2020","WATER AND POWER","IBEW LOCAL 18 HEALTH AND WELFARE TRUST","116894026.90","35","35"
"2018","WATER AND POWER","KAISER FOUNDATION HLT PLAN,INC C/O OFFICE OF THE TREASURER","114215186.57","36","36"
"2016","WATER AND POWER","UAMPS (UTAH ASSOC.MUNCIP PWR SYSTEMS)","113241808.44","28","28"
"2014","WATER AND POWER","SALT RIVER PROJECT C/O OFFICE OF THE TREASURER","113161401.12","41","41"
"2013","WATER AND POWER","SALT RIVER PROJECT C/O OFFICE OF THE TREASURER","112969341.98","38","38"
"2019","WATER AND POWER","SCPPA C/O OFFICE OF THE TREASURER","112964251.72","65","65"
"2012","WATER AND POWER","SALT RIVER PROJECT C/O OFFICE OF THE TREASURER","110138535.93","35","35"
"2017","WATER AND POWER","KAISER FOUNDATION HLT PLAN,INC C/O OFFICE OF THE TREASURER","109738641.05","36","36"
"2015","WATER AND POWER","IBEW LOCAL 18 HEALTH AND WELFARE TRUST","106381721.07","36","36"
"2017","WATER AND POWER","OHL USA, INC","106214675.37","18","18"
"2019","WATER AND POWER","UAMPS (UTAH ASSOC.MUNCIP PWR SYSTEMS)","101768562.06","23","23"
"2016","WATER AND POWER","KAISER FOUNDATION HLT PLAN,INC C/O OFFICE OF THE TREASURER","100866918.84","36","36"
"2017","WATER AND POWER","UAMPS (UTAH ASSOC.MUNCIP PWR SYSTEMS)","100227040.66","24","24"
"2020","WATER AND POWER","METRO WTR DIST OF SO CALIF C/O OFFICE OF THE TREASURER","99966945.88","16","16"
"2016","WATER AND POWER","CA. ARB AUCTION & RESERVE SALE FINANCIAL SVCS ADMINISTRATOR","98549940","12","12"
"2015","WATER AND POWER","KAISER FOUNDATION HLT PLAN,INC C/O OFFICE OF THE TREASURER","96958552.32","36","36"
"2014","WATER AND POWER","IBEW LOCAL 18 HEALTH AND WELFARE TRUST","96747074.63","20","20"
"2021","WATER AND POWER","METRO WTR DIST OF SO CALIF C/O OFFICE OF THE TREASURER","96456090.88","12","12"
"2020","WATER AND POWER","KAISER FOUNDATION HLT PLAN,INC C/O OFFICE OF THE TREASURER","94113177.75","27","27"
"2018","WATER AND POWER","UAMPS (UTAH ASSOC.MUNCIP PWR SYSTEMS)","90507248.82","26","26"
"2016","WATER AND POWER","SALT RIVER PROJECT C/O OFFICE OF THE TREASURER","89958950.72","52","52"
"2013","WATER AND POWER","IBEW LOCAL 18 HEALTH AND WELFARE TRUST","89072278.94","12","12"
"2014","WATER AND POWER","KAISER FOUNDATION HLT PLAN,INC C/O OFFICE OF THE TREASURER","88455394.16","36","36"
"2022","WATER AND POWER","KIEWIT INFRASTRUCTURE WEST CO KIEWIT FINANCE GROUP INC.","87114629.67","30","30"
"2012","WATER AND POWER","UAMPS (UTAH ASSOC.MUNCIP PWR SYSTEMS)","85563612.08","24","24"
"2012","WATER AND POWER","KIEWIT POWER CONSTRUCTORS CO","85445164.6","14","14"
"2013","WATER AND POWER","KAISER FOUNDATION HLT PLAN,INC C/O OFFICE OF THE TREASURER","84684289.32","36","36"
"2022","WATER AND POWER","IBEW LOCAL 18 HEALTH AND WELFARE TRUST","84655124.51","24","24"
"2014","WATER AND POWER","WEBCOR/OBAYASHI/LYLES AJV","81881132.20","23","23"
"2012","WATER AND POWER","IBEW LOCAL 18 HEALTH AND WELFARE TRUST","81569434.84","12","12"
"2012","WATER AND POWER","KAISER FOUNDATION HLT PLAN,INC C/O OFFICE OF THE TREASURER","81104340.44","36","36"
"2020","WATER AND POWER","SCPPA C/O OFFICE OF THE TREASURER","76116170.58","45","45"
"2020","WATER AND POWER","UAMPS (UTAH ASSOC.MUNCIP PWR SYSTEMS)","73453206.16","17","17"
"2015","WATER AND POWER","SCPPA C/O OFFICE OF THE TREASURER","73341470.19","17","17"
"2015","WATER AND POWER","GENERAL ELECTRIC COMPANY","72844332.25","18","18"
"2012","WATER AND POWER","ARIZONA NUCLEAR POWER PROJECT ARIZONA PUBLIC SERVICE CO.","72529613","68","68"
"2016","WATER AND POWER","KIEWIT POWER CONSTRUCTORS CO","71765301","19","19"
"2020","WATER AND POWER","KIEWIT INFRASTRUCTURE WEST CO KIEWIT FINANCE GROUP INC.","70310435.76","26","26"
"2015","WATER AND POWER","ARIZONA NUCLEAR POWER PROJECT ARIZONA PUBLIC SERVICE CO.","68072866","66","66"
"2016","WATER AND POWER","ARIZONA NUCLEAR POWER PROJECT ARIZONA PUBLIC SERVICE CO.","65349224","69","69"
"2022","WATER AND POWER","KAISER FOUNDATION HLT PLAN,INC C/O OFFICE OF THE TREASURER","64855181.29","18","18"
"2017","WATER AND POWER","ARIZONA NUCLEAR POWER PROJECT ARIZONA PUBLIC SERVICE CO.","64597536","71","71"
"2019","WATER AND POWER","EDISON POWER CONSTRUCTORS","63061665.18","278","278"
"2016","WATER AND POWER","OHL USA, INC","62117163.55","8","8"
"2021","WATER AND POWER","KAISER FOUNDATION HLT PLAN,INC C/O OFFICE OF THE TREASURER","61742372.25","16","16"
"2018","WATER AND POWER","ARIZONA NUCLEAR POWER PROJECT ARIZONA PUBLIC SERVICE CO.","61673254.38","69","69"
"2021","WATER AND POWER","IBEW LOCAL 18 HEALTH AND WELFARE TRUST","61305215.99","21","21"
"2016","WATER AND POWER","MACQUARIE COOK ENERGY LLC C/O OFFICE OF THE TREASURER","61117261.37","14","14"
"2014","WATER AND POWER","ARIZONA NUCLEAR POWER PROJECT ARIZONA PUBLIC SERVICE CO.","60992006","62","62"
