"fiscal_year","change_type","activity_type","activity","amount_in_thousands","absolute_amount_in_thousands"
"2005","Expenses","Governmental Activities","General Government","1220826","1220826"
"2006","Expenses","Governmental Activities","General Government","921672","921672"
"2007","Expenses","Governmental Activities","General Government","1429922","1429922"
"2008","Expenses","Governmental Activities","General Government","1570377","1570377"
"2009","Expenses","Governmental Activities","General Government","1507318","1507318"
"2010","Expenses","Governmental Activities","General Government","1279697","1279697"
"2011","Expenses","Governmental Activities","General Government","1462581","1462581"
"2012","Expenses","Governmental Activities","General Government","1335180","1335180"
"2013","Expenses","Governmental Activities","General Government","2089053","2089053"
"2014","Expenses","Governmental Activities","General Government","1481977","1481977"
"2005","Expenses","Governmental Activities","Protection of Persons and Property","2156914","2156914"
"2006","Expenses","Governmental Activities","Protection of Persons and Property","2117147","2117147"
"2007","Expenses","Governmental Activities","Protection of Persons and Property","2414058","2414058"
"2008","Expenses","Governmental Activities","Protection of Persons and Property","2741492","2741492"
"2009","Expenses","Governmental Activities","Protection of Persons and Property","2552413","2552413"
"2010","Expenses","Governmental Activities","Protection of Persons and Property","2618138","2618138"
"2011","Expenses","Governmental Activities","Protection of Persons and Property","2641343","2641343"
"2012","Expenses","Governmental Activities","Protection of Persons and Property","2707892","2707892"
"2013","Expenses","Governmental Activities","Protection of Persons and Property","2789023","2789023"
"2014","Expenses","Governmental Activities","Protection of Persons and Property","2963882","2963882"
"2005","Expenses","Governmental Activities","Public Works","337627","337627"
"2006","Expenses","Governmental Activities","Public Works","374293","374293"
"2007","Expenses","Governmental Activities","Public Works","300817","300817"
"2008","Expenses","Governmental Activities","Public Works","261917","261917"
"2009","Expenses","Governmental Activities","Public Works","451141","451141"
"2010","Expenses","Governmental Activities","Public Works","392874","392874"
"2011","Expenses","Governmental Activities","Public Works","342722","342722"
"2012","Expenses","Governmental Activities","Public Works","413348","413348"
"2013","Expenses","Governmental Activities","Public Works","387649","387649"
"2014","Expenses","Governmental Activities","Public Works","383433","383433"
