"id_number","fiscal_year","department_name","vendor_name","transaction_date","dollar_amount","authority","business_tax_registration_certificate","government_activity","fund_group_name","fund_type","fund_name","account_name","transaction_id","expenditure_type","settlement_judgment","fiscal_month_number","fiscal_year_month","fiscal_year_quarter","calendar_month_number","calendar_month_year","calendar_month","data_source","contract_name","contract_link"
"16","2012","POLICE","PRIVACY-POLICE","2011-07-06T00:00:00.000","750",,,"PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","LAPD REVOLVING TRAINING FUND","NON REIMBURSABLE TRAINING","AD26120000000016","PERSONNEL SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
"17","2012","POLICE","PRIVACY-POLICE","2011-07-06T00:00:00.000","750",,,"PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","LAPD REVOLVING TRAINING FUND","NON REIMBURSABLE TRAINING","AD26120000000017","PERSONNEL SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
"81","2012","POLICE","PRIVACY-POLICE","2011-07-07T00:00:00.000","840",,,"PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","LAPD REVOLVING TRAINING FUND","NON REIMBURSABLE TRAINING","AD26120000000059","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
"82","2012","POLICE","PRIVACY-POLICE","2011-07-07T00:00:00.000","840",,,"PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","LAPD REVOLVING TRAINING FUND","NON REIMBURSABLE TRAINING","AD26120000000060","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
"141","2012","POLICE","FAA NATIONAL AERONAUTICAL","2011-07-06T00:00:00.000","2213.64",,"6666666666","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","OFFICE AND ADMINISTRATIVE","AD26120000000058","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
"142","2012","PENSION","SIMPSON & SIMPSON CERTIFIED PUBLIC ACCOUNTANTS","2011-07-06T00:00:00.000","36000","CO500PEN","0000318564","PENSION","FIDUCIARY","PENSION TRUST","FIRE & POLICE TIER 2 GENERAL P","CONTRACTUAL","AD26120000000019","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","SIMPSON & SIMPSON CERT PUBLIC","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-500PEN"
"243","2012","POLICE","SIERRA SYSTEMS GROUP INC","2011-07-07T00:00:00.000","107368.42","CO105410","0000512338","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","SPECIAL REVENUE","LAPD TRAIN & EVAL MGMT SYS II","RMIS/UOFS","AD26120000000095","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","SIERRA SYSTEMS GROUP, INC.","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-105410"
"276","2012","PERSONNEL","LOS ANGELES POLICE PROTECTIVE LEAGUE/C","2011-07-07T00:00:00.000","76554.87",,"0000408873","GENERAL GOVERNMENT","FIDUCIARY","AGENCY","INSURANCE TRUST","OTHER PAYROLL DEDUCTION PAYABL","AD26120000000085","ACCRUED WAGES& RELATED LIA PAY",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
"491","2012","POLICE","PRIVACY-POLICE","2011-07-08T00:00:00.000","3560",,,"PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","SPECIAL REVENUE","US DEPT OF JUSTICE ASSET FORFE","SPA-MISC OPERATIONAL EXP","AD26120000000137","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
"492","2012","POLICE","PRIVACY-POLICE","2011-07-08T00:00:00.000","3600",,,"PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","SPECIAL REVENUE","US DEPT OF JUSTICE ASSET FORFE","SPA-MISC OPERATIONAL EXP","AD26120000000138","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
