"fiscal_year","neighborhood_council","transaction_date","transaction_details","type_of_payment","amount","credits"
"2016","Arleta","2016-06-30T00:00:00.000","PARTNERS IN DIVERSITY","Checks","51.98",
"2016","Arleta","2016-06-21T00:00:00.000","ARLETA SEL 08188303811 CA 08188303811 CA","Electronic debits","460",
"2016","Arleta","2016-06-09T00:00:00.000","AARON DEVANDRY ONLINE PMT WEB UN1198192514POS","Electronic debits","250",
"2016","Arleta","2016-06-07T00:00:00.000","PARTNERS IN DIVERSITY","Checks","150.15",
"2016","Arleta","2016-06-02T00:00:00.000","ARLETA SEL 08188303811 CA 08188303811 CA","Electronic debits","460",
"2016","Arleta","2016-05-27T00:00:00.000","PARTNERS IN DIVERSITY","Checks","80.85",
"2016","Arleta","2016-05-19T00:00:00.000","SUBWAY ARLETA CA ARLETA CA","Electronic debits","60",
"2016","Arleta","2016-05-16T00:00:00.000","PARTNERS IN DIVERSITY","Checks","115.5",
"2016","Arleta","2016-05-13T00:00:00.000","PIP PRINTING ONLINE PMT WEB UN1198192514POS","Electronic debits","4991.54",
"2016","Arleta","2016-05-10T00:00:00.000","PARTNERS IN DIVERSITY","Checks","92.4",
"2016","Arleta","2016-05-06T00:00:00.000","AARON DEVANDRY ONLINE PMT WEB UN1198192514POS","Electronic debits","250",
"2016","Arleta","2016-05-03T00:00:00.000","PARTNERS IN DIVERSITY","Checks","40.43",
"2016","Arleta","2016-05-03T00:00:00.000","HOTSTICK U 09197824442 NC 09197824442 NC","Electronic debits","301.5",
"2016","Arleta","2016-05-02T00:00:00.000","ARLETA SEL 08188303811 CA 08188303811 CA","Electronic debits","460",
"2016","Arleta","2016-04-27T00:00:00.000","LITTLE CAE ARLETA CA ARLETA CA","Electronic debits","35.41",
"2016","Arleta","2016-04-26T00:00:00.000","PARTNERS IN DIVERSITY","Checks","28.88",
"2016","Arleta","2016-04-13T00:00:00.000","ANDERSON T NORTH HOLLYW CA NORTH HOLLYW CA","Electronic debits","32.7",
"2016","Arleta","2016-04-13T00:00:00.000","LITTLE CAE ARLETA CA ARLETA CA","Electronic debits","35.41",
"2016","Arleta","2016-04-11T00:00:00.000","CITY OF LOS ANGE EFT PAYMT PPD ***********0735","Electronic Credits",,"4750"
"2016","Arleta","2016-04-08T00:00:00.000","AARON DEVANDRY ONLINE PMT WEB UN1198192514POS","Electronic debits","250",
"2016","Arleta","2016-04-04T00:00:00.000","ARLETA SEL 08188303811 CA 08188303811 CA","Electronic debits","460",
"2016","Arleta","2016-04-01T00:00:00.000","SOS SURVIV VAN NUYS CA VAN NUYS CA","Electronic debits","3934.91",
