"fiscal_year","category","description","name","amount","forecast_type","type"
"2007","General Fund","This item represents the ""base"" for the property tax revenue, roughly equivalent to one percent of the property market value at the time of sale plus outstanding indebtedness.","Property Tax - 1%","951390158","Actual","Receipts"
"2007","General Fund","N/A","Property Tax - Miscellaneous","0","Actual","Receipts"
"2007","General Fund","The State collects vehicle license fees and formerly redistributed the receipts to local governments. Beginning in 2004-05, however, the State redirected these funds to its own budget, and shifted property taxes in California cities to offset the loss of these funds. This account receives the property taxes in-lieu of all but a small portion of vehicle license fee receipts.","Property Tax - Vehicle License Fee Replacement","270688590","Actual","Receipts"
"2007","General Fund","This account includes property tax remittances directed to the City in-lieu of lost sales taxes. From fiscal years 2005 to 2016, one-quarter of City sales tax receipts was redirected to the State to pay for state economic recovery bonds. To offset the local revenue loss, state law was amended to increase City property tax receipts by an amount equal to the sales tax loss. No additional revenue will be received beyond fiscal year 2017.","Property Tax - Sales Tax Replacement","112093653","Actual","Receipts"
"2007","General Fund","The dissolution of the Community Redevelopment Agency resulted in the redistribution of net Tax Increment resources to the county, schools, the City, and other entities. The City began receiving these payments in June 2012. A second component of this item consists of one-time monies from the due diligence review and subsequent distribution of former CRA funds, for which the City received its last distribution in 2013-14.","Property Tax - Ex-CRA Tax Increment","0","Actual","Receipts"
"2007","General Fund","Revenue from the City tax on electricity consumption. Electricity usage in the City of Los Angeles is taxed at a rate of 12.5 percent for commercial or industrial users, and 10 percent for all other users.","Electricity Users' Tax","248982722","Actual","Receipts"
"2007","General Fund","Communications charges are subject to a nine percent tax, including, but not limited to: connection, reconnection, termination, movement, or change of telecommunications services; late payment fees; detailed billing; voice mail and other messaging services; directory assistance; access and line charges; universal service charges; and regulatory, administrative and other cost recovery charges.","Communications Users' Tax","273790967","Actual","Receipts"
"2007","General Fund","Gas used in the City for utility purposes is taxed at a rate of 5 percent for non-profit educational institutions, and 10 percent for all other users. Revenue from the tax closely tracks natural gas prices, which have dropped significantly in recent years.","Gas Users' Tax","82495568","Actual","Receipts"
"2007","General Fund","This item includes fees collected by various departments for services such as animal registrations and ambulance services. Additionally, more than one-half of this revenue comes from reimbursements from special funds and proprietary departments for services paid for by the General Fund, such as health insurance.","Licenses, Permits, Fees","545931369","Actual","Receipts"
"2007","General Fund","The City imposes a tax upon businesses located within the City or doing business therein. The business tax is typically based on gross receipts; it is not an income tax. Taxpayers apportion gross receipts in cases where business activity occurs both within and outside the City.","Business Tax","464330066","Actual","Receipts"
"2007","General Fund","The sales tax is imposed upon retailers selling tangible goods in California, with exemptions provided for certain essentials, such as food for home consumption and prescription drugs. The total sales tax rate in the City decreased from 9.0 percent to 8.75 percent during 2016-17 with the expiration of Proposition 30. The rate will increase to 9.5 percent in fiscal year 2017-18, with the implementation of special tax measures M and H.","Sales Tax","333884625","Actual","Receipts"
"2007","General Fund","The documentary transfer tax is assessed at the time of a property's sale. Additional revenue is generated when controlling interest in a legal entity holding real property is transferred. This tax is the most volatile General Fund revenue source as revenue growth (or decline) is magnified when home prices and sales volume move together.","Documentary Transfer Tax","188057469","Actual","Receipts"
"2007","General Fund","The transfer from the Power Revenue Fund has historically been set as a percentage of prior-year gross operating power revenue. The Charter provides that the transfer may not exceed power system net income.","Power Revenue Transfer","174747200","Actual","Receipts"
"2007","General Fund","The transient occupancy tax (TOT) is levied on the rate of hotel and motel rooms and other properties rented for 30 days or less. TOT is paid by the occupant and is collected and remitted to the City by the operator (host). The tax rate is 14 percent, of which 13 percent is remitted to the General Fund and 1 percent is remitted to the Greater Los Angeles Visitors and Convention Bureau Trust Fund.","Transient Occupancy Tax","134556978","Actual","Receipts"
"2007","General Fund","This item represents fines collected from parking violations in the City.","Parking Fines","119501898","Actual","Receipts"
"2007","General Fund","The parking occupancy tax is levied on the rent of parking spaces, equal to 10 percent of the parking fee. Monthly receipts fluctuates significantly, but grow over time.","Parking Users' Tax","78323376","Actual","Receipts"
