"fiscal_year","fiscal_month_name","department_name","account_name","expenditures","fund_name","account_group_name","account_group","fiscal_month_number","fiscal_period","fund","department","account"
"2022","MARCH","AGING","SALARIES GENERAL","241665.2","GENERAL FUND (GENERAL BUDGET)","SALARIES AND BENEFITS","SAL","9","202209","100","2","001010"
"2022","MARCH","AGING","SALARIES AS NEEDED","17821.47","GENERAL FUND (GENERAL BUDGET)","SALARIES AND BENEFITS","SAL","9","202209","100","2","001070"
"2022","MARCH","AGING","OVERTIME GENERAL","1814.59","GENERAL FUND (GENERAL BUDGET)","SALARIES AND BENEFITS","SAL","9","202209","100","2","001090"
"2022","MARCH","AGING","CONTRACTUAL SERVICES","136792","GENERAL FUND (GENERAL BUDGET)","EXPENSES","EXP","9","202209","100","2","003040"
"2022","MARCH","AGING","TRANSPORTATION","500","GENERAL FUND (GENERAL BUDGET)","EXPENSES","EXP","9","202209","100","2","003310"
"2022","MARCH","AGING","OFFICE AND ADMINISTRATIVE","2676.28","GENERAL FUND (GENERAL BUDGET)","EXPENSES","EXP","9","202209","100","2","006010"
"2022","MARCH","AGING","SOCIAL SERVICES III B","270283","AREA PLAN FOR THE AGING TIT 7",,,"9","202209","395","2","02VA01"
"2022","MARCH","AGING","CONGREGATE MEALS III C1","356000.38","AREA PLAN FOR THE AGING TIT 7",,,"9","202209","395","2","02VA02"
"2022","MARCH","AGING","HOME DELIVERED MEALS III C2","535132.25","AREA PLAN FOR THE AGING TIT 7",,,"9","202209","395","2","02VA04"
"2022","MARCH","AGING","NSIP CONGREGATE MEALS III C1","46120","AREA PLAN FOR THE AGING TIT 7",,,"9","202209","395","2","02VA07"
"2022","MARCH","AGING","NSIP HOME DELIVERED MEALS III C2","57654","AREA PLAN FOR THE AGING TIT 7",,,"9","202209","395","2","02VA08"
"2022","MARCH","AGING","FAMILY CAREGIVER SUPPORT PROGRAM III E","331","AREA PLAN FOR THE AGING TIT 7",,,"9","202209","395","2","02VA09"
"2022","MARCH","AGING","HOME FALL PREVENTION","945","AREA PLAN FOR THE AGING TIT 7",,,"9","202209","395","2","02VA12"
"2022","MARCH","AGING","CONGREGATE MEALS FOR SENIORS","70147","AREA PLAN FOR THE AGING TIT 7",,,"9","202209","395","2","02VQ02"
"2022","MARCH","AGING","HOME DELIVERED MEALS FOR SENIORS","245142","AREA PLAN FOR THE AGING TIT 7",,,"9","202209","395","2","02VQ04"
"2022","MARCH","AGING","ENROLLEE WAGES","123510","OTHER PROGRAMS FOR THE AGING",,,"9","202209","410","2","021021"
"2022","MARCH","AGING","EVIDENCE BASED PROGRAMS","15057","SENIOR HUMAN SERVICES PROGRAM",,,"9","202209","42J","2","02V340"
"2022","MARCH","AGING","PUBLIC HEALTH LCPF","3300","OMBUDSMAN INITIATIVE PROGRAM F",,,"9","202209","46V","2","02VC04"
"2022","MARCH","AGING","HICAP 9 MONTH","76783","HEALTH INS COUNS ADV (HICAP)",,,"9","202209","47Y","2","02VD01"
"2022","MARCH","AGING","HICAP 12 MONTH","124790","HEALTH INS COUNS ADV (HICAP)",,,"9","202209","47Y","2","02VD12"
"2022","MARCH","AGING","OMBUDSMAN VII A PROGRAM","8542","TITLE VII OLDER AMERICANS ACT",,,"9","202209","564","2","02VB01"
"2022","MARCH","AGING","ELDER ABUSE PREVENTION","4083","TITLE VII OLDER AMERICANS ACT",,,"9","202209","564","2","02VB02"
"2022","MARCH","AGING","CITYRIDE PROGRAM","148364","SENIOR CITYRIDE PROGRAM FUND",,,"9","202209","599","2","02V221"
"2022","MARCH","AIRPORTS","OTHER EXPENDITURES","306834261.47","AIRPORT REVENUE",,,"9","202209","700","4","041000"
