BENCHMARK NUMBER,NORTHING,EASTING,ELEVATION,LOCATION DESCRIPTION,LOCATION DESCRIPTION 2,MARK DESCRIPTION,YEAR BENCHMARK ELEVATION FIXED,BOOK NUMBER,LATITUDE,LONGITUDE,ESTIMATED LOCATION,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,Historical Wards 2003-2015
336,1938919.693,1151673.827,18.742,8.7' W. OF E. LINE OF DRAKE AVE.,18.6' S. OF S. LINE OF THORNDALE AVE.,,1975,82,41.9882761179,-87.7174948099,"(41.9882761179, -87.7174948099)",50,13,4450,799,38,28
224,1913219.348,1129704.525,66.827,8.8' S. OF THE N. LINE OF DICKENS AVE.,2.6' W. OF THE W. LINE OF N. NEWLAND AVE.,IN BOOKS 369 - 372,1937,369,41.9181565765,-87.7988907841,"(41.9181565765, -87.7988907841)",3,26,4454,598,7,39
330,1845380.194,1196564.022,8.71,14.5' E. OF W. LINE OF MUSKEAGON AVE.,169.8' N. OF N. LINE OF E. 91ST ST.,N. OF N.W. COR.,1976,404,41.73059723,-87.5555043194,"(41.73059723, -87.5555043194)",25,42,21202,175,37,43
279,1891401.422,1173156.595,11.614,"46.7' S. OF S. LINE OF W. 18TH ST.
3' E. OF E. CURB LINE",6.5' W. OF E. LINE OF S. NORMAL AVE.                                                1.5' S. OF CONCRETE DRIVE,ELEVATION PRIOR TO 1966 WAS 11.72,1966,63,41.8574328252,-87.6398929236,"(41.8574328252, -87.6398929236)",40,33,21194,126,26,8
594,1936971.951,1153728.135,16.195,29.5 FEET SOUTH OF THE SOUTH LINE OF W BRYN MAWR AVENUE,11.5 FEET WEST OF THE EAST LINE OF N SAWYER AVENUE,,1983,470,41.9828906278,-87.7099909754,"(41.9828906278, -87.7099909754)",20,13,4450,167,38,46
578,1902245.816,1136410.922,38.428,11.0 NORTH OF THE SOUTH LINE OF W LAKE STREET,74.0 FEET EAST OF THE EAST LINE OF N AUSTIN BOULEVARD,,1982,410,41.8879265156,-87.7745132607,"(41.8879265156, -87.7745132607)",32,26,22216,672,7,52
478,1950168.184,1155835.609,17.095,47.8 FEET SOUTH OF THE SOUTH LINE OF W HOWARD STREET,12.5 FEET WEST OF THE EAST LINE OF N FRANCISCO AVENUE,,1983,228,42.0190592837,-87.7018821914,"(42.0190592837, -87.7018821914)",12,20,22528,359,27,42
456,1858282.557,1167037.815,21.484,12.0 FEET NORTH OF THE SOUTH LINE OF W 70TH STREET,6.0 FEET WEST OF THE WEST LINE OF ALLEY EAST OF S ASHLAND AVE,,1970,212,41.7666844219,-87.6633001211,"(41.7666844219, -87.6633001211)",23,65,22257,284,31,17
1,1899922.177,1175111.006,17.64,MARK CUT ON TOP OF BOTTOM STONE OF GRANITE BASE AT S.E. CORNER OF NORTHERN TRUST CO. BANK BUILDING 3.22' ABOVE SIDEWALK. CAISSONS TO ROCK.,,"THIS BENCH MADE PRIMARY BENCH FOR THE CITY OF CHICAGO. SEE ORDINANCE OF SEPT. 12, 1928, PAGE 3460 OF COUNCIL PROCEEDINGS.",1928,0,41.8807707967,-87.6324638061,"(41.8807707967, -87.6324638061)",34,38,14311,92,36,22
261,1903250.331,1152606.821,22.286,21' N OF N. LINE OF FRANKLIN BLVD.,12.7' E. OF W. LINE OF DRAKE AVE.,ELEVATION PRIOR TO 1965 WAS 22.292,1965,262,41.8903781789,-87.7150094548,"(41.8903781789, -87.7150094548)",30,24,21572,584,46,41
600,1831287.119,1205075.272,6.456,4.5 FEET NORTH OF THE SOUTH LINE OF EAST 112TH STREET,20.5 FEET WEST OF THE WEST LINE OF S STATE LINE ROAD,,1984,484,41.6917095127,-87.5248103934,"(41.6917095127, -87.5248103934)",25,52,21202,787,47,47
368,1864949.376,1153591.083,24.135,9.2' S. OF N. LINE OF W. 59TH PL.,120.2' E. OF E. LINE OF S. CENTRAL PARK AVE.,E. OF N.E. COR.,1968,95,41.7852560752,-87.7124115796,"(41.7852560752, -87.7124115796)",58,64,21867,344,6,19
305,1857590.303,1188308.503,7.329,9.6' S. OF N. LINE OF E. 72ND ST.,"11.5' W. OF W. LINE OF 1ST ALLEY E. OF STONY ISLAND AVE.
(98.6' E. OF E. LINE OF STONY ISLAND AVE.)",,1973,371,41.764303673,-87.5853577007,"(41.764303673, -87.5853577007)",24,39,22538,452,33,32
429,1947829.066,1159403.583,31.973,8.7 FEET WEST OF EAST LINE OF CLAREMONT AVENUE,77.1 FEET NORTH OF NORTH LINE OF TOUHY AVENUE,,1983,406,42.0125677005,-87.6888173197,"(42.0125677005, -87.6888173197)",12,20,22528,341,27,3
