"the_geom","objectid","fname","ftype","uspsabbr","leftadd1","leftadd2","rgtadd1","rgtadd2","zipcolef","zipcorgt","nametype","t_leftadd1","t_leftadd2","t_rgtadd1","t_rgtadd2","grid","suffabbr","namecaps","annotext","roadclass","truckroute","honorary","idotstreet","speedlimit","location","ownership","created_date","last_edited_date","shape_stlength","engstreetclass"
"MULTILINESTRING ((-87.674918769235 42.042589282674, -87.67587663008 42.042597545203, -87.675921944453 42.042597941977, -87.67594760169 42.042598171261, -87.676908216104 42.04261434416))","977","Greenwood","Street","St","320","330","319","325","60201","60201","Greenwood Street","300","398","301","399","1400","ST","GREENWOOD","GREENWOOD ST","Local Street",,,"No","25","320-325 GREENWOOD ST","City of Evanston",,"2022-03-21T15:43:45.000Z","540.50111555414105","Local street"
"MULTILINESTRING ((-87.70583454764 42.055543763227, -87.705829493683 42.056016006359, -87.705819925312 42.056438116326, -87.705817396062 42.056799755926))","1580","Pioneer","Road","Rd","2106","2128","2101","2129","60201","60201","Pioneer Road","2100","2138","2101","2139","0","RD","PIONEER","PIONEER RD","Local Street",,,"No","25","2106-2129 PIONEER RD","City of Evanston",,"2022-03-21T15:43:49.000Z","457.73735564216412","Local street"
"MULTILINESTRING ((-87.70575421599 42.061436250512, -87.705535015506 42.061703348367, -87.705298052325 42.061993975821, -87.705131406713 42.06219297595))","1586","Pioneer","Road","Rd","0","0","2425","2431","60201","60201","Pioneer Road","2416","2430","2417","2431","0","RD","PIONEER","PIONEER RD","Local Street",,,"No","25","2425-2431 PIONEER RD","City of Evanston",,"2022-03-21T15:43:49.000Z","323.50243669024536","Local street"
"MULTILINESTRING ((-87.70195259585 42.019285871852, -87.70195039819 42.019397120903, -87.701942574462 42.019689497877, -87.701941404021 42.019737130433, -87.70193259696 42.020102853953, -87.701932613224 42.020194207845))","997","Grey","Avenue","Ave","0","0","101","107","60202","60202","Grey Avenue","100","128","101","129","2100","AVE","GREY","GREY AVE","Local Street",,,"No","25","101-107 GREY AVE","City of Evanston",,"2022-03-21T15:43:45.000Z","331.06333202979164","Local street"
"MULTILINESTRING ((-87.702264187442 42.041077732914, -87.702526565828 42.041073138084, -87.703135471462 42.041060896157, -87.703752190146 42.041047760837, -87.703812864407 42.041047188066))","738","Dempster","Street","St","0","0","2101","2125","60202","60201","Dempster Street","2100","2198","2101","2199","1300","ST","DEMPSTER","DEMPSTER ST","Main Road","Truck Routes",,"Yes","30","2101-2125 DEMPSTER ST","City of Evanston",,"2022-03-21T15:45:36.000Z","420.8429249269567","Major street"
"MULTILINESTRING ((-87.685924623539 42.030364995037, -87.68594085751 42.03045185744, -87.685996465355 42.030688444599, -87.68602991469 42.030830781539))","1642","Ridge","Avenue","Ave","702","710","701","707","60202","60202","Ridge Avenue","700","714","701","715","0","AVE","RIDGE","RIDGE AVE","Main Road","Truck Prohibited",,"No","30","702-707 RIDGE AVE","City of Evanston",,"2022-03-21T15:45:37.000Z","172.15090859394067","Major street"
"MULTILINESTRING ((-87.725666401846 42.055515879244, -87.725662509595 42.056190676461))","202","Prospect","Avenue","Ave","2110","2110","0","0","60201","60201","Prospect Avenue","2100","2110","2101","2111","3300","AVE","PROSPECT","PROSPECT AVE","Local Street",,,"No","25","2110-2110 PROSPECT AVE","City of Evanston",,"2022-03-21T15:43:49.000Z","245.91096803518138","Local street"
"MULTILINESTRING ((-87.701991297392 42.053778521928, -87.702473931882 42.053768662475, -87.702765305076 42.053763924692, -87.703352802343 42.053754335777, -87.703540937055 42.053752596707))","900","Foster","Street","St","2112","2124","2117","2121","60201","60201","Foster Street","2100","2198","2101","2199","2000","ST","FOSTER","FOSTER ST","Local Street",,,"No","25","2112-2121 FOSTER ST","City of Evanston",,"2022-03-21T15:43:45.000Z","420.98134633629007","Local street"
"MULTILINESTRING ((-87.693549914137 42.052188813757, -87.693606294919 42.052187865722, -87.694182122333 42.052176749396, -87.694259311779 42.052175258321, -87.694596786895 42.05216950821))","819","Emerson","Street","St","1528","1532","1511","1511","60201","60201","Emerson Street","1500","1598","1501","1599","1900","ST","EMERSON","EMERSON ST","Main Road","Truck Routes","Leon Robinson Street","No","30","1528-1511 EMERSON ST","City of Evanston",,"2022-03-21T15:45:36.000Z","284.41786138324829","Major street"
"MULTILINESTRING ((-87.677578411822 42.065251299893, -87.67768650759 42.065519033901, -87.677877650688 42.06596220968, -87.678066460289 42.066392611451, -87.678081070462 42.066425871743))","1737","Sheridan","Road","Rd","2652","2668","2651","2655","60201","60201","Sheridan Road","2632","2668","2633","2669","600","RD","SHERIDAN","SHERIDAN RD","Main Road","Truck Prohibited",,"No","25","2652-2655 SHERIDAN RD","City of Evanston",,"2022-03-21T15:45:37.000Z","449.29341695765282","Major street"
