"study_id","study_class","treatment_focus_study","total_n_randomized","outcome_measure","outcome_measure_definition","arm","arm_n_randomized","treatment_name","ncptsd_treatment_name","treatment_focus_arm","treatment_focus_subclass","psychotherapy","psychotherapy_subclass","pharmacotherapy","pharmacotherapy_subclass","cih","cih_subclass","nonpharmacologic_biologic","nonpharmacologic_cognitive","control","other","collaborative_care","format","delivery_method","analysis_type","assessment_point_bucket","assessment_point","outcome_measure_score","outcome_measure_comments","military_status","active_duty_military","veteran","community","female_percent","female_percent_detail","male_percent","trauma_type","trauma_detail","risk_of_bias_rating_study_level","citation","ptsdpubs_id","year_added_to_ptsd_repository"
"battaglia2016_Reported_A_0_ITT","Other mixed","PTSD+SUD","175","Reported suicidal thoughts","Frequency of reported suicidal thoughts: question in Health Buddy: ""Are you having any thoughts of harming yourself?""","A","89","MI for smoking cessation + PTSD home telehealth care management program","Motivational Interviewing (MI) for smoking cessation + PTSD home telehealth care management program","PTSD+SUD","Not integrated","Yes","Non-TF","No","Not Applicable","No","Not Applicable","No","No","No","No","Yes","Individual","Mixed","ITT","End of Treatment","0","0.034","None","Veteran","0","1","0","0.1371",,"0.8629",,,"Medium","Battaglia C, Peterson J, Whitfield E, et al. Integrating motivational interviewing into a home telehealth program for veterans with posttraumatic stress disorder who smoke: a randomized controlled trial. J Clin Psychol. 2016 Mar;72(3):194-206. doi: 10.1002/jclp.22252. PMID: 26783736.",,"2020"
"battaglia2016_Reported_B_0_ITT","Other mixed","PTSD+SUD","175","Reported suicidal thoughts","Frequency of reported suicidal thoughts: question in Health Buddy: ""Are you having any thoughts of harming yourself?""","B","86","PTSD home telehealth care management program","PTSD home telehealth care management program","PTSD","Not integrated","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","Technology alone","ITT","End of Treatment","0","0.105","None","Veteran","0","1","0","0.1371",,"0.8629",,,"Medium","Battaglia C, Peterson J, Whitfield E, et al. Integrating motivational interviewing into a home telehealth program for veterans with posttraumatic stress disorder who smoke: a randomized controlled trial. J Clin Psychol. 2016 Mar;72(3):194-206. doi: 10.1002/jclp.22252. PMID: 26783736.","49060","2020"
"bohus2013_Non-suic_A_0_Comp","Psychotherapy","PTSD","82","Non-suicidal self-injury behaviors","Proportion of participants who show non-suicidal self-injury behaviors","A","43","DBT-PTSD","Dialectical Behavior Therapy (DBT) +  trauma-focused cognitive behavioral therapy (TF-CBT)","PTSD",,"Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Mixed","In Person","Completer","End of Treatment","0","0.1765","None","Community",,,"1","1",,"0","Child sexual abuse",,"Medium","Bohus MJ, Dyer AS, Priebe K, et al. Dialectical behaviour therapy for post-traumatic stress disorder after childhood sexual abuse in patients with and without borderline personality disorder: a randomised controlled trial. Psychother Psychosom. 2013 Jun;82(4):221-33. doi: 10.1159/000348451. PMID: 23712109.","41533","2019"
"bohus2013_Non-suic_A_Baseline_Comp","Psychotherapy","PTSD","82","Non-suicidal self-injury behaviors","Proportion of participants who show non-suicidal self-injury behaviors","A","43","DBT-PTSD","Dialectical Behavior Therapy (DBT) +  trauma-focused cognitive behavioral therapy (TF-CBT)","PTSD",,"Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Mixed","In Person","Completer","Baseline",,"0.6176","None","Community",,,"1","1",,"0","Child sexual abuse",,"Medium","Bohus MJ, Dyer AS, Priebe K, et al. Dialectical behaviour therapy for post-traumatic stress disorder after childhood sexual abuse in patients with and without borderline personality disorder: a randomised controlled trial. Psychother Psychosom. 2013 Jun;82(4):221-33. doi: 10.1159/000348451. PMID: 23712109.",,"2019"
"foa2018_BeckSca_A_26_ITT","Psychotherapy","PTSD","370","Beck Scale for Suicide Ideation (suicide ideation and behavior)","Among participants reporting no suicide ideation at baseline, number reporting BSSI > 0 at a subsequent assessment","A","110","Massed PE Therapy","Prolonged Exposure (PE)","PTSD",,"Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In person","ITT","Assessment at 6 to <12 Months","26","0.067",,,,,,"0.1202",,"0.8798","Mixed","combat-related, other (not specified)","Medium","Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795.",,"2020"
"foa2018_BeckSca_A_26_ITT","Psychotherapy","PTSD","370","Beck Scale for Suicide Ideation (suicide ideation and behavior)","RCI for BSSI, reliable worsening","A","110","Massed PE Therapy","Prolonged Exposure (PE)","PTSD",,"Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In person","ITT","Assessment at 6 to <12 Months","26","0.036",,,,,,"0.1202",,"0.8798","Mixed","combat-related, other (not specified)","Medium","Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795.",,"2020"
"foa2018_BeckSca_A_26_ITT","Psychotherapy","PTSD","370","Beck Scale for Suicide Ideation (suicide ideation and behavior)","RCI for BSSI, reliable improvement among participants reporting any baseline suicide ideation","A","110","Massed PE Therapy","Prolonged Exposure (PE)","PTSD",,"Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In person","ITT","Assessment at 6 to <12 Months","26","0.875",,,,,,"0.1202",,"0.8798","Mixed","combat-related, other (not specified)","Medium","Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795.",,"2020"
"foa2018_BeckSca_A_Baseline_ITT","Psychotherapy","PTSD","370","Beck Scale for Suicide Ideation (suicide ideation and behavior)","Among participants reporting no suicide ideation at baseline, number reporting BSSI > 0 at a subsequent assessment","A","110","Massed PE Therapy","Prolonged Exposure (PE)","PTSD",,"Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In person","ITT","Baseline",,"0",,,,,,"0.1202",,"0.8798","Mixed","combat-related, other (not specified)","Medium","Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795.",,"2020"
"foa2018_BeckSca_B_26_ITT","Psychotherapy","PTSD","370","Beck Scale for Suicide Ideation (suicide ideation and behavior)","Among participants reporting no suicide ideation at baseline, number reporting BSSI > 0 at a subsequent assessment","B","110","Spaced PE Therapy","Prolonged Exposure (PE)","PTSD",,"Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In person","ITT","Assessment at 6 to <12 Months","26","0.1325",,,,,,"0.1202",,"0.8798","Mixed","combat-related, other (not specified)","Medium","Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795.",,"2020"
"foa2018_BeckSca_B_26_ITT","Psychotherapy","PTSD","370","Beck Scale for Suicide Ideation (suicide ideation and behavior)","RCI for BSSI, reliable worsening","B","110","Spaced PE Therapy","Prolonged Exposure (PE)","PTSD",,"Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In person","ITT","Assessment at 6 to <12 Months","26","0.068",,,,,,"0.1202",,"0.8798","Mixed","combat-related, other (not specified)","Medium","Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795.",,"2020"
