"study_id","study_class","treatment_focus_study","arm","treatment_focus_arm","treatment_focus_subclass","treatment_name","ncptsd_treatment_name","psychotherapy","psychotherapy_subclass","pharmacotherapy","pharmacotherapy_subclass","cih","cih_subclass","nonpharmacologic_biologic","nonpharmacologic_cognitive","control","other","collaborative_care","format","delivery_method","arm_n_randomized","serious_adverse_event_percent","serious_adverse_event_detail","withdrawal_due_to_adverse","withdrawal_due_to_adverse_1","attempted_suicide_percent","attempted_suicide_detail","completed_suicide_percent","completed_suicide_detail","harms_comment","military_status","active_duty_military","veteran","community","female_percent","female_percent_detail","male_percent","trauma_type","trauma_detail","risk_of_bias_rating_study_level","citation","ptsdpubs_id","year_added_to_ptsd_repository"
"acarturk2016_A","Psychotherapy","PTSD","A","PTSD",,"EMDR Recent Traumatic Episode Protocol","Eye Movement Desensitization and Reprocessing (EMDR)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","49",,,"0.00",,,,"0.00",,,"Community",,,"1","0.7449",,"0.2551","Terrorism/political violence/forced displacement",,"Medium","Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.","45262","2019"
"acarturk2016_B","Psychotherapy","PTSD","B","Control",,"Waitlist","Waitlist","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,"49",,,"0.00",,,,"0.00",,,"Community",,,"1","0.7449",,"0.2551","Terrorism/political violence/forced displacement",,"Medium","Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.","45262","2019"
"acierno2017_A","Psychotherapy","PTSD","A","PTSD",,"PE delivered in-person","Prolonged Exposure (PE)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","76",,,,,,,,,,"Veteran",,"1",,"0.0379",,"0.9621","Combat-related",,"Medium","Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.","45948","2019"
"acierno2017_B","Psychotherapy","PTSD","B","PTSD",,"PE delivered via home-based telehealth","Prolonged Exposure (PE)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","Video","74",,,,,,,,,,"Veteran",,"1",,"0.0379",,"0.9621","Combat-related",,"Medium","Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.","45948","2019"
"adenauer2011_A","Psychotherapy","PTSD","A","PTSD",,"NET","Narrative Exposure Therapy (NET)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","16",,,,,,,,,,"Community",,,"1","0.4412",,"0.5588","Terrorism/political violence/forced displacement",,"High","Adenauer H, Catani C, Gola H, et al. Narrative exposure therapy for PTSD increases top-down processing of aversive stimuli -- evidence from a randomized controlled treatment trial. BMC Neurosci. 2011 Dec 19;12:127. doi: 10.1186/1471-2202-12-127. PMID: 22182346.","37889","2019"
"adenauer2011_B","Psychotherapy","PTSD","B","Control",,"Waitlist","Waitlist","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,"18",,,,,,,,,,"Community",,,"1","0.4412",,"0.5588","Terrorism/political violence/forced displacement",,"High","Adenauer H, Catani C, Gola H, et al. Narrative exposure therapy for PTSD increases top-down processing of aversive stimuli -- evidence from a randomized controlled treatment trial. BMC Neurosci. 2011 Dec 19;12:127. doi: 10.1186/1471-2202-12-127. PMID: 22182346.","37889","2019"
"ahmadi2015_A","Mixed: Psychotherapy & CIH","PTSD","A","PTSD",,"EMDR","Eye Movement Desensitization and Reprocessing (EMDR)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","16",,,,,,,,,,"Active Duty Military","1","0","0","0",,"1","Combat-related",,"High","Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553.","46896","2019"
"ahmadi2015_B","Mixed: Psychotherapy & CIH","PTSD","B","PTSD",,"REM Desensitization","Rapid Eye Movement (REM) Desentization","No","Not Applicable","No","Not Applicable","No","Not Applicable","Yes","No","No","No","No","Individual","In Person","16",,,"0.3125",,,,,,,"Active Duty Military","1","0","0","0",,"1","Combat-related",,"High","Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553.","46896","2019"
"ahmadi2015_C","Mixed: Psychotherapy & CIH","PTSD","C","Control",,"Control","Waitlist","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,"16",,,,,,,,,,"Active Duty Military","1","0","0","0",,"1","Combat-related",,"High","Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553.","46896","2019"
"ahmadizadeh2018_A","Nonpharmacologic biological","PTSD","A","PTSD",,"Bilateral rTMS","Transcranial magnetic stimualtion (TMS)","No","Not Applicable","No","Not Applicable","No","Not Applicable","Yes","No","No","No","No","Individual","In Person","22",,,"0.1364",,,,,,,"Veteran","0","1","0","0",,"1","Combat-related",,"Medium","Ahmadizadeh MJ, Rezaei M. Unilateral right and bilateral dorsolateral prefrontal cortex transcranial magnetic stimulation in treatment post-traumatic stress disorder: a randomized controlled study. Brain Res Bull. 2018;140:334-40. doi: 10.1016/j.brainresbull.2018.06.001. PMID: 29883597.","50480","2019"
