"study_id","study_class","treatment_focus_study_level","treatment_focus_arm_level","treatment_focus_subclass_arm_level","total_n_randomized","intervention_group","arm_n_randomized","arm_n_randomized_qual","treatment_name","ncptsd_treatment_name","treatment_desc","psychotherapy","psychotherapy_subclass","pharmacotherapy","pharmacotherapy_subclass","cih","cih_subclass","nonpharm_biologic","nonpharm_cognitive_therapy","control","other","collaborative_care","format","delivery_method","dose","session_length","frequency","treatment_duration_weeks","treatment_duration_qual","def_treatment_completion","percent_completed","completed_psychotherapy_percent_detail","def_treatment_adherence","percent_adhered","adhered_pharmacotherapy_percent_detail","psychotherapy_sessions_mean","psychotherapy_sessions_sd","psychotherapy_sessions_qual","dose_at_study_end_point_mean","dose_at_study_end_point_sd","dose_at_study_end_point_qual","military_status","percent_active_duty_military","percent_veteran","percent_community","female_percent","female_percent_qual","male_percent","trauma_type","trauma_detail","risk_of_bias_rating_study_level","citation","ptsdpubs_id","year_added_to_ptsd_repository"
"acarturk2016_A","Psychotherapy","PTSD","PTSD",,"98","A","49",,"EMDR Recent Traumatic Episode Protocol","Eye Movement Desensitization and Reprocessing (EMDR)","Patient asked to make eye movements or exposed to bilateral tones or tapping while recalling traumatic events, with focus on most recent traumatic events with an extended time perspective.","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person",,,,,"8 phases","completed full EMDR therapy","0.7551",,,,,"4.2","1.3",,,,,"Community",,,"1","0.7449",,"0.2551","Terrorism/political violence/forced displacement",,"Medium","Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.","45262","2019"
"acarturk2016_B","Psychotherapy","PTSD","Control",,"98","B","49",,"Waitlist","Waitlist","Patients not allowed to receive any treatment through 5-week followup period","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,,,,"5",,,,,,,,,,,,,,"Community",,,"1","0.7449",,"0.2551","Terrorism/political violence/forced displacement",,"Medium","Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.","45262","2019"
"acierno2017_A","Psychotherapy","PTSD","PTSD",,"150","A","76",,"PE delivered in-person","Prolonged Exposure (PE)","Trauma-focused CBT according to the manual by Foa, Hembree, & Rothbaum, 2007","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person",,"1.5 hours",,,"10 to 12 sessions total","completed ≥6 treatment sessions","0.7237",,,,,"8.6","3.2",,,,,"Veteran",,"1",,"0.0379",,"0.9621","Combat-related",,"Medium","Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.","45948","2019"
"acierno2017_B","Psychotherapy","PTSD","PTSD",,"150","B","74",,"PE delivered via home-based telehealth","Prolonged Exposure (PE)","Trauma-focused CBT according to the manual by Foa, Hembree, & Rothbaum, 2007","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","Video",,"1.5 hours",,,"10 to12 sessions total","completed ≥6 treatment sessions","0.5811",,,,,"7.6","3.6",,,,,"Veteran",,"1",,"0.0379",,"0.9621","Combat-related",,"Medium","Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.","45948","2019"
"adenauer2011_A","Psychotherapy","PTSD","PTSD",,"34","A","16",,"NET","Narrative Exposure Therapy (NET)","Trauma-focused CBT with patients constructing a detailed chronological account of his/her biography, with particular attention on traumatic experiences. Therapy aims to reorganize fragmented report of traumatic experiences into a coherent narrative with details about current and past emotional, physiological, cognitive, and behavioral reactions.","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person",,"NR (session continues until trauma-related fear reaction shows a significant diminution; mean session length was 108 [SD 17.0] minutes)","Weekly or biweekly",,"2 sessions total","did not drop out of treatment","0.9375",,,,,,,,,,,"Community",,,"1","0.4412",,"0.5588","Terrorism/political violence/forced displacement",,"High","Adenauer H, Catani C, Gola H, et al. Narrative exposure therapy for PTSD increases top-down processing of aversive stimuli -- evidence from a randomized controlled treatment trial. BMC Neurosci. 2011 Dec 19;12:127. doi: 10.1186/1471-2202-12-127. PMID: 22182346.","37889","2019"
"adenauer2011_B","Psychotherapy","PTSD","Control",,"34","B","18",,"Waitlist","Waitlist",,"No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.4412",,"0.5588","Terrorism/political violence/forced displacement",,"High","Adenauer H, Catani C, Gola H, et al. Narrative exposure therapy for PTSD increases top-down processing of aversive stimuli -- evidence from a randomized controlled treatment trial. BMC Neurosci. 2011 Dec 19;12:127. doi: 10.1186/1471-2202-12-127. PMID: 22182346.","37889","2019"
"ahmadi2015_A","Mixed: Psychotherapy & CIH","PTSD","PTSD",,"48","A","16",,"EMDR","Eye Movement Desensitization and Reprocessing (EMDR)","Sequences of large-magnitude, rhythmic saccadic eye movements while holding in mind the most salient aspect of a traumatic memory. (As described in: Shapiro F. Eye movement desensitization: a new treatment for post-traumatic stress disorder. J Behav Ther Exp Psychiatry. 1989 Sep;20(3):211-7. PubMed PMID: 2576656.)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person",,,,,,,,,,,,,,,,,,"Active Duty Military","1","0","0","0",,"1","Combat-related",,"High","Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553.","46896","2019"
"ahmadi2015_B","Mixed: Psychotherapy & CIH","PTSD","PTSD",,"48","B","16",,"REM Desensitization","Rapid Eye Movement (REM) Desentization","Patients wore glasses during sleep that possess sensors with the ability to detect infrared waves that during the rapid eye movements (REM) period and which activates a musical instrument which delivers a light music","No","Not Applicable","No","Not Applicable","No","Not Applicable","Yes","No","No","No","No","Individual","In Person",,,,,,,,,,,,,,,,,,"Active Duty Military","1","0","0","0",,"1","Combat-related",,"High","Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553.","46896","2019"
"ahmadi2015_C","Mixed: Psychotherapy & CIH","PTSD","Control",,"48","C","16",,"Control","Waitlist",,"No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,,,,,,,,,,,,,,,,,,"Active Duty Military","1","0","0","0",,"1","Combat-related",,"High","Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553.","46896","2019"
"ahmadizadeh2019_A","Nonpharmacologic biological","PTSD","PTSD",,"40","A","20",,"Transcranial direct current stimulation (tDCS)","Transcranial direct current stimulation (tDCS)","Ten tDCS sessions delivered to the right (cathode) and left (anode) dorsolateral prefrontal cortex, with brain areas localized using EEG, over 10 consecutive weekdays","No","Not Applicable","No","Not Applicable","No","Not Applicable","Yes","No","No","No","No","Individual","In Person",,"20 minute treatment with 2mA delivered to scalp electrodes","5 days per week","2",,,,,,,,,,,,,,"Community",,,"1","0.65",,"0.35",,,"Medium","Ahmadizadeh MJ, Rezaei M, Fitzgerald PB. Transcranial direct current stimulation (tDCS) for post-traumatic stress disorder (PTSD): a randomized, double-blinded, controlled trial. Brain research bulletin. 2019;153:273-8. PMID: 31560945.","1545324","2020"
