"study_id","study_class","treatment_focus_study","total_n_randomized","outcome_measure","outcome_measure_definition","arm","arm_n_randomized","treatment_name","ncptsd_treatment_name","treatment_focus_arm","treatment_focus_subclass","psychotherapy","psychotherapy_subclass","pharmacotherapy","pharmacotherapy_subclass","cih","cih_subclass","nonpharmacologic_biologic","nonpharmacologic_cognitive","control","other","collaborative_care","format","delivery_method","analysis_type","assessment_point_bucket","assessment_point","measure_score_mean","measure_score_standard_deviation","outcome_measure_comments","military_status","active_duty_military","veteran","community","female_percent","female_percent_detail","male_percent","trauma_type","trauma_detail","risk_of_bias_rating_study_level","citation","ptsdpubs_id","year_added_to_ptsd_repository"
"bohus2013_SuicidalIde_A_0_Comp","Psychotherapy","PTSD","82","Suicidal Ideation","Rated on 6-point Likert scale, ranging from 0 to 5 (uncontrollable suicidal ideas)","A","43","DBT-PTSD","Dialectical Behavior Therapy (DBT) +  trauma-focused cognitive behavioral therapy (TF-CBT)","PTSD",,"Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Mixed","In Person","Completer","End of Treatment","0","0.81","0.99","None","Community",,,"1","1",,"0","Child sexual abuse",,"Medium","Bohus MJ, Dyer AS, Priebe K, et al. Dialectical behaviour therapy for post-traumatic stress disorder after childhood sexual abuse in patients with and without borderline personality disorder: a randomised controlled trial. Psychother Psychosom. 2013 Jun;82(4):221-33. doi: 10.1159/000348451. PMID: 23712109.","41533","2019"
"bohus2013_SuicidalIde_A_Baseline_Comp","Psychotherapy","PTSD","82","Suicidal Ideation","Rated on 6-point Likert scale, ranging from 0 to 5 (uncontrollable suicidal ideas)","A","43","DBT-PTSD","Dialectical Behavior Therapy (DBT) +  trauma-focused cognitive behavioral therapy (TF-CBT)","PTSD",,"Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Mixed","In Person","Completer","Baseline",,"0.78","1.00","Baseline assessment measure score is treatment weeks 1-3, no baseline value reported","Community",,,"1","1",,"0","Child sexual abuse",,"Medium","Bohus MJ, Dyer AS, Priebe K, et al. Dialectical behaviour therapy for post-traumatic stress disorder after childhood sexual abuse in patients with and without borderline personality disorder: a randomised controlled trial. Psychother Psychosom. 2013 Jun;82(4):221-33. doi: 10.1159/000348451. PMID: 23712109.","41533","2019"
"engel2016_Suicidality_A_52_ITT","Collaborative care","PTSD","666","Suicidality","SCL-20 item: hopelessness","A","332","Centrally assisted collaborative telecare","Centrally assisted collaborative telecare","PTSD",,"No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","No","No","Yes","Individual","Phone","ITT","Assessment at ≥12 Months","52",,,"There were significant reductions in each item in Arm A (Centrally Assisted Collaborative Telecare) vs no change in Arm B (Usual Care).","Active Duty Military","1","0","0","0.1907",,"0.8093",,,"Low","Engel CC, Jaycox LH, Freed MC, et al. Centrally assisted collaborative telecare for posttraumatic stress disorder and depression among military personnel attending primary care: a randomized clinical trial. JAMA Intern Med. 2016 Jul 1;176(7):948-56. doi: 10.1001/jamainternmed.2016.2402. PMID: 27294447.","45003","2019"
"engel2016_Suicidality_A_52_ITT","Collaborative care","PTSD","666","Suicidality","SCL-20 item: thoughts of death","A","332","Centrally assisted collaborative telecare","Centrally assisted collaborative telecare","PTSD",,"No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","No","No","Yes","Individual","Phone","ITT","Assessment at ≥12 Months","52",,,"There were significant reductions in each item in Arm A (Centrally Assisted Collaborative Telecare) vs no change in Arm B (Usual Care).","Active Duty Military","1","0","0","0.1907",,"0.8093",,,"Low","Engel CC, Jaycox LH, Freed MC, et al. Centrally assisted collaborative telecare for posttraumatic stress disorder and depression among military personnel attending primary care: a randomized clinical trial. JAMA Intern Med. 2016 Jul 1;176(7):948-56. doi: 10.1001/jamainternmed.2016.2402. PMID: 27294447.","45003","2019"
"engel2016_Suicidality_A_52_ITT","Collaborative care","PTSD","666","Suicidality","SCL-20 item: thoughts of suicide","A","332","Centrally assisted collaborative telecare","Centrally assisted collaborative telecare","PTSD",,"No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","No","No","Yes","Individual","Phone","ITT","Assessment at ≥12 Months","52",,,"There were significant reductions in each item in Arm A (Centrally Assisted Collaborative Telecare) vs no change in Arm B (Usual Care).","Active Duty Military","1","0","0","0.1907",,"0.8093",,,"Low","Engel CC, Jaycox LH, Freed MC, et al. Centrally assisted collaborative telecare for posttraumatic stress disorder and depression among military personnel attending primary care: a randomized clinical trial. JAMA Intern Med. 2016 Jul 1;176(7):948-56. doi: 10.1001/jamainternmed.2016.2402. PMID: 27294447.","45003","2019"
"engel2016_Suicidality_B_52_ITT","Collaborative care","PTSD","666","Suicidality","SCL-20 item: hopelessness","B","334","Re-Engineering Systems of Primary Care Treatment in the Military","Treatment as usual (TAU)","Control",,"No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,"ITT","Assessment at ≥12 Months","52",,,"There were significant reductions in each item in Arm A (Centrally Assisted Collaborative Telecare) vs no change in Arm B (Usual Care).","Active Duty Military","1","0","0","0.1907",,"0.8093",,,"Low","Engel CC, Jaycox LH, Freed MC, et al. Centrally assisted collaborative telecare for posttraumatic stress disorder and depression among military personnel attending primary care: a randomized clinical trial. JAMA Intern Med. 2016 Jul 1;176(7):948-56. doi: 10.1001/jamainternmed.2016.2402. PMID: 27294447.","45003","2019"
"engel2016_Suicidality_B_52_ITT","Collaborative care","PTSD","666","Suicidality","SCL-20 item: thoughts of death","B","334","Re-Engineering Systems of Primary Care Treatment in the Military","Treatment as usual (TAU)","Control",,"No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,"ITT","Assessment at ≥12 Months","52",,,"There were significant reductions in each item in Arm A (Centrally Assisted Collaborative Telecare) vs no change in Arm B (Usual Care).","Active Duty Military","1","0","0","0.1907",,"0.8093",,,"Low","Engel CC, Jaycox LH, Freed MC, et al. Centrally assisted collaborative telecare for posttraumatic stress disorder and depression among military personnel attending primary care: a randomized clinical trial. JAMA Intern Med. 2016 Jul 1;176(7):948-56. doi: 10.1001/jamainternmed.2016.2402. PMID: 27294447.","45003","2019"
"engel2016_Suicidality_B_52_ITT","Collaborative care","PTSD","666","Suicidality","SCL-20 item: thoughts of suicide","B","334","Re-Engineering Systems of Primary Care Treatment in the Military","Treatment as usual (TAU)","Control",,"No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,"ITT","Assessment at ≥12 Months","52",,,"There were significant reductions in each item in Arm A (Centrally Assisted Collaborative Telecare) vs no change in Arm B (Usual Care).","Active Duty Military","1","0","0","0.1907",,"0.8093",,,"Low","Engel CC, Jaycox LH, Freed MC, et al. Centrally assisted collaborative telecare for posttraumatic stress disorder and depression among military personnel attending primary care: a randomized clinical trial. JAMA Intern Med. 2016 Jul 1;176(7):948-56. doi: 10.1001/jamainternmed.2016.2402. PMID: 27294447.","45003","2019"
"mccall2018_ScaleforSu_A_Baseline_ITT","Pharmacotherapy","PTSD","20","Scale for Suicide Ideation","Score ≥3 reflects mild to moderate intensity suicidal ideation","A","10","Prazosin","Prazosin","PTSD",,"No","Not Applicable","Yes","Antiadrenergic","No","Not Applicable","No","No","No","No","No","Individual","In person","ITT","Baseline",,"13.7","6.9","One patient each in the prazosin and placebo groups required emergent psychiatric hospitalization for worsening suicidal ideation or worsening clinical condition. There were no suicide attempts
or deaths.","Mixed","0","0.10","0.90","0.85",,"0.15","Mixed","combat-related, other (not specified)","High","McCall WV, Pillai A, Case D, et al. A pilot, randomized clinical trial of bedtime doses of prazosin versus placebo in suicidal posttraumatic stress disorder patients with nightmares. J Clin Psychopharmacol. 2018 Dec;38(6):618-21. doi: 10.1097/JCP.0000000000000968. PMID: 30335633.",,"2020"
"mccall2018_ScaleforSu_B_Baseline_ITT","Pharmacotherapy","PTSD","20","Scale for Suicide Ideation","Score ≥3 reflects mild to moderate intensity suicidal ideation","B","10","Placebo","Placebo","Control",,"No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In person","ITT","Baseline",,"14.8","7.3","One patient each in the prazosin and placebo groups required emergent psychiatric hospitalization for worsening suicidal ideation or worsening clinical condition. There were no suicide attempts
or deaths.","Mixed","0","0.10","0.90","0.85",,"0.15","Mixed","combat-related, other (not specified)","High","McCall WV, Pillai A, Case D, et al. A pilot, randomized clinical trial of bedtime doses of prazosin versus placebo in suicidal posttraumatic stress disorder patients with nightmares. J Clin Psychopharmacol. 2018 Dec;38(6):618-21. doi: 10.1097/JCP.0000000000000968. PMID: 30335633.",,"2020"
