"study_id","study_class","treatment_focus_study_level","total_n_randomized","intervention_group","treatment_focus_arm_level","treatment_focus_subclass_arm_level","n_completed_outcome_measure","n_completed_outcome_measure_detail","publication_treatment_name","ncptsd_treatment_name","psychotherapy","psychotherapy_subclass","pharmacotherapy","pharmacotherapy_subclass","cih","cih_subclass","nonpharm_biologic","nonpharm_cognitive_therapy","control","other","collaborative_care","format","delivery_method","arm_n_randomized","outcome_assessment_type","ptsd_outcome_measure_simple","ptsd_outcome_measure_detail","analysis_type","method_for_handling_missing","statistical_analysis_method","assessment_point_category","assessment_point","measure_score_detail","measure_score_mean","measure_score_sd","measure_score_type_of_variance_measure","measure_score_variance_value_or_lower_bound","measure_score_variance_upper_bound","score_difference_from_baseline_detail","score_difference_baseline","score_difference_baseline_sd","score_difference_from_baseline_95_ci_lower_bound","score_difference_from_baseline_95_ci_upper_bound","effect_size_1_detail","effect_size_1_type","effect_size_1_value","effect_size_1_type_of_variance_measure","effect_size_1_variance_value_or_lower_bound","effect_size_1_variance_upper_bound","effect_size_1_p_value","effect_size_2_detail","effect_size_2_type","effect_size_2_value","effect_size_2_type_of_variance_measure","effect_size_2_variance_value_or_lower_bound","effect_size_2_variance_upper_bound","effect_size_2_p_value","def_dc_1","per_dc_change_1","additional_definitions_diag_change","def_cm_1","per_cm_response_1","additional_definitions_clinic_resp","military_status","percent_active_duty_military","percent_veteran","percent_community","female_percent","female_percent_qual","male_percent","trauma_type","trauma_detail","risk_of_bias_rating_study_level","citation","ptsdpubs_id","year_added_to_ptsd_repository"
"acarturk2016_HTQ_A_0_NA","Psychotherapy","PTSD","98","A","PTSD",,,,"EMDR Recent Traumatic Episode Protocol","Eye Movement Desensitization and Reprocessing (EMDR)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","49","Self report","HTQ","HTQ (Arabic version)",,,"Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change","End of Treatment","0",,"1.42",,"SE","0.07",,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.7449",,"0.2551","Terrorism/political violence/forced displacement",,"Medium","Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.","45262","2019"
"acarturk2016_HTQ_A_4_NA","Psychotherapy","PTSD","98","A","PTSD",,,,"EMDR Recent Traumatic Episode Protocol","Eye Movement Desensitization and Reprocessing (EMDR)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","49","Self report","HTQ","HTQ (Arabic version)",,,"Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change","Assessment at <3 Months","4",,"1.57",,"SE","0.08",,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.7449",,"0.2551","Terrorism/political violence/forced displacement",,"Medium","Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.","45262","2019"
"acarturk2016_HTQ_A_Baseline_NA","Psychotherapy","PTSD","98","A","PTSD",,,,"EMDR Recent Traumatic Episode Protocol","Eye Movement Desensitization and Reprocessing (EMDR)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","49","Self report","HTQ","HTQ (Arabic version)",,,"Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change","Baseline",,,"2.63","0.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.7449",,"0.2551","Terrorism/political violence/forced displacement",,"Medium","Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.","45262","2019"
"acarturk2016_HTQ_B_0_NA","Psychotherapy","PTSD","98","B","Control",,,,"Waitlist","Waitlist","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,"49","Self report","HTQ","HTQ (Arabic version)",,,"Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change","End of Treatment","0",,"2.38",,"SE","0.08",,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.7449",,"0.2551","Terrorism/political violence/forced displacement",,"Medium","Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.","45262","2019"
"acarturk2016_HTQ_B_4_NA","Psychotherapy","PTSD","98","B","Control",,,,"Waitlist","Waitlist","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,"49","Self report","HTQ","HTQ (Arabic version)",,,"Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change","Assessment at <3 Months","4",,"2.38",,"SE","0.08",,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.7449",,"0.2551","Terrorism/political violence/forced displacement",,"Medium","Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.","45262","2019"
"acarturk2016_HTQ_B_Baseline_NA","Psychotherapy","PTSD","98","B","Control",,,,"Waitlist","Waitlist","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,"49","Self report","HTQ","HTQ (Arabic version)",,,"Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change","Baseline",,,"2.47","0.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.7449",,"0.2551","Terrorism/political violence/forced displacement",,"Medium","Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.","45262","2019"
"acarturk2016_IES_A_0_ITT","Psychotherapy","PTSD","98","A","PTSD",,"37",,"EMDR Recent Traumatic Episode Protocol","Eye Movement Desensitization and Reprocessing (EMDR)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","49","Self report","IES","IES-R (Arabic version)","ITT","Imputed","Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change","End of Treatment","0",,"21.36",,"SEM","2.76",,,"-38.33",,,,,,,,,,,,,,,,,,"Not meeting criteria for PTSD according to MINI","0.6122",,,,,"Community",,,"1","0.7449",,"0.2551","Terrorism/political violence/forced displacement",,"Medium","Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.","45262","2019"
"acarturk2016_IES_A_4_ITT","Psychotherapy","PTSD","98","A","PTSD",,"31",,"EMDR Recent Traumatic Episode Protocol","Eye Movement Desensitization and Reprocessing (EMDR)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","49","Self report","IES","IES-R (Arabic version)","ITT","Imputed","Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change","Assessment at <3 Months","4",,"25.87",,"SEM","3.01",,,"-33.82",,,,,,,,,,,,,,,,,,"Not meeting criteria for PTSD according to MINI","0.4898",,,,,"Community",,,"1","0.7449",,"0.2551","Terrorism/political violence/forced displacement",,"Medium","Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.","45262","2019"
"acarturk2016_IES_A_Baseline_ITT","Psychotherapy","PTSD","98","A","PTSD",,"49",,"EMDR Recent Traumatic Episode Protocol","Eye Movement Desensitization and Reprocessing (EMDR)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","49","Self report","IES","IES-R (Arabic version)","ITT","Imputed","Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change","Baseline",,,"59.69","13.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.7449",,"0.2551","Terrorism/political violence/forced displacement",,"Medium","Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.","45262","2019"
"acarturk2016_IES_B_0_ITT","Psychotherapy","PTSD","98","B","Control",,"33",,"Waitlist","Waitlist","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,"49","Self report","IES","IES-R (Arabic version)","ITT","Imputed","Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change","End of Treatment","0",,"59.01",,"SEM","2.92",,,"-3.54",,,,,,,,,,,,,,,,,,"Not meeting criteria for PTSD according to MINI","0.0612",,,,,"Community",,,"1","0.7449",,"0.2551","Terrorism/political violence/forced displacement",,"Medium","Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.","45262","2019"
"acarturk2016_IES_B_4_ITT","Psychotherapy","PTSD","98","B","Control",,"33",,"Waitlist","Waitlist","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,"49","Self report","IES","IES-R (Arabic version)","ITT","Imputed","Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change","Assessment at <3 Months","4",,"60.37",,"SEM","3.01",,,"-2.18",,,,,,,,,,,,,,,,,,"Not meeting criteria for PTSD according to MINI","0.0409",,,,,"Community",,,"1","0.7449",,"0.2551","Terrorism/political violence/forced displacement",,"Medium","Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.","45262","2019"
"acarturk2016_IES_B_Baseline_ITT","Psychotherapy","PTSD","98","B","Control",,"49",,"Waitlist","Waitlist","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,"49","Self report","IES","IES-R (Arabic version)","ITT","Imputed","Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change","Baseline",,,"62.55","12.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.7449",,"0.2551","Terrorism/political violence/forced displacement",,"Medium","Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.","45262","2019"
"acierno2017_PCL_A_0_Comp","Psychotherapy","PTSD","150","A","PTSD",,"55",,"PE delivered in-person","Prolonged Exposure (PE)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","76","Self report","PCL","PCL-M","Completer","Multiple imputation","Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.","End of Treatment","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran",,"1",,"0.0379",,"0.9621","Combat-related",,"Medium","Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.","45948","2019"
"acierno2017_PCL_A_0_ITT","Psychotherapy","PTSD","150","A","PTSD",,"68",,"PE delivered in-person","Prolonged Exposure (PE)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","76","Self report","PCL","PCL-M","ITT","Multiple imputation","Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.","End of Treatment","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran",,"1",,"0.0379",,"0.9621","Combat-related",,"Medium","Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.","45948","2019"
"acierno2017_PCL_A_12_Comp","Psychotherapy","PTSD","150","A","PTSD",,"55",,"PE delivered in-person","Prolonged Exposure (PE)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","76","Self report","PCL","PCL-M","Completer","Multiple imputation","Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.","Assessment at 3 to <6 Months","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran",,"1",,"0.0379",,"0.9621","Combat-related",,"Medium","Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.","45948","2019"
"acierno2017_PCL_A_12_ITT","Psychotherapy","PTSD","150","A","PTSD",,"68",,"PE delivered in-person","Prolonged Exposure (PE)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","76","Self report","PCL","PCL-M","ITT","Multiple imputation","Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.","Assessment at 3 to <6 Months","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran",,"1",,"0.0379",,"0.9621","Combat-related",,"Medium","Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.","45948","2019"
"acierno2017_PCL_A_26_Comp","Psychotherapy","PTSD","150","A","PTSD",,"55",,"PE delivered in-person","Prolonged Exposure (PE)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","76","Self report","PCL","PCL-M","Completer","Multiple imputation","Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.","Assessment at 6 to <12 Months","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran",,"1",,"0.0379",,"0.9621","Combat-related",,"Medium","Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.","45948","2019"
