"county","license_number","operation_type","trade_name","owner_name","street_number","street_name","address_line_2","address_line_3","city","state","zip_code","georeference"
"ALLEGANY","26143","Floral Shop","ON THE SIDE FLORIST","STANTON KENNETH&REBECCA","76","MAIN STREET-PO BOX 222",,,"BELFAST","NY","14711",
"BRONX","659639","Dept. Store","TJ MAXX STORE #1325","TJX COMPANIES INC","1","FORDHAM PLAZA",,,"BRONX","NY","10458","POINT (-73.89115 40.86001)"
"CHAUTAUQUA","658824","Other","DOLLAR TREE #00440","DOLLAR TREE","330","E FAIRMONT AVE",,,"LAKEWOOD","NY","14750",
"CORTLAND","662117","Other","REAL DEALS #9","JIM SEAMANS","3658","STATE RT 281",,,"CORTLAND","NY","13045",
"ERIE","145133","Grocery Store","TOPS #66","PHILIP PERNA","1989","SENECA STREET",,,"BUFFALO","NY","14210","POINT (-78.811952 42.857255)"
"GREENE","657952","Grocery Store","TOPS #724","TOPS MARKET LLC","7410","9W-RD #1W",,,"WEST COXSACKIE","NY","12192",
"JEFFERSON","220141","Landscaper","LAND PRO INC","JOHN E. MOODY","27017","NYS ROUTE 37",,,"WATERTOWN","NY","13601",
"KINGS","658220","Grocery Store","ALDI #9","ALDI INC","3785","NOSTRAND AVE",,,"BROOKLYN","NY","11235","POINT (-73.940145 40.591687)"
"KINGS","662131","Other","LIRA KIM","LIRA KIM","197","5TH AVE",,,"BROOKLYN","NY","11217","POINT (-73.980267 40.6767)"
"KINGS","618479","Drug Store","RITE AID #1947","RITE AID OF NEW YORK INC","960","HALSEY STREET",,,"BROOKLYN","NY","112331403","POINT (-73.915732 40.685727)"
"NASSAU","658956","Other","DOLLAR TREE #03647","DOLLAR TREE","932","CARMENS ROAD",,,"MASSAPEQUA","NY","11758",
"NEW YORK","660246","Floral Shop","ELI'S MANHATTAN INC.","ELI ZABAR","1411","3RD AVENUE",,,"NEW YORK","NY","10028","POINT (-73.956654 40.775136)"
"NIAGARA","657564","Other","PETSMART INC #2231","ROBERT MORAN","5722","S TRANSIT RD",,,"LOCKPORT","NY","14094","POINT (-78.696896 43.148642)"
"ONEIDA","661988","Grocery Store","GRAND UNION OF SHERRILL LLC","WILLIAM BOYD","87","E STATE ST",,,"SHERRILL","NY","13461","POINT (-75.593549 43.075406)"
"ONEIDA","304059","Grocery Store","TOPS #586","TOPS PT LLC","9554","STATE RT 13",,,"CAMDEN","NY","13316",
"ONONDAGA","660127","Other","BYRNE DAIRY #55","SONBYRNE SALES INC","3385","MILTON AVE",,,"SYRACUSE","NY","13219","POINT (-76.240898 43.050974)"
"ONONDAGA","319770","Hardware Store","HOME DEPOT THE #6153","HOME DEPOT USA INC","3861","STATE ROUTE 31",,,"LIVERPOOL","NY","13090","POINT (-76.246689 43.184574)"
"ONONDAGA","314051","Grocery Store","TOPS #368","TOPS PT LLC","8417","OSWEGO RD",,,"CLAY","NY","13027",
"OSWEGO","353855","Dept. Store","WAL-MART #3332","WAL-MART STORES EAST LP","1818","STATE ROUTE 3",,,"FULTON","NY","13069",
"QUEENS","639452","Drug Store","RITE AID #10605","GENOVESE DRUG STORES INC","583","GRANDVIEW AVENUE",,,"RIDGEWOOD","NY","11385",
"QUEENS","659676","Dept. Store","TJ MAXX STORE #588","TJX COMPANIES INC","136-05","20TH AVENUE",,,"WHITESTONE","NY","11357",
"SCHENECTADY","660801","Grocery Store","ALDI INC STORE #183","ALDI INC","303","SARATOGA ROAD",,,"SCHENECTADY","NY","12302","POINT (-73.930364 42.873243)"
"SUFFOLK","657482","Drug Store","CVS PHARMACY # 5104","CVS ALBANY LLC","496","COUNTRY RD 111 BDG C",,,"MANORVILLE","NY","11949",
"ULSTER","657506","Dept. Store","BIG LOTS #5210","BIG LOTS STORES INC","330","ROUTE 212",,,"SAUGERTIES","NY","12477",
"WESTCHESTER","659275","Grocery Store","ACME #2424","DANIEL CROCE","100","ROUTE 22",,,"GOLDENS BRIDGE","NY","10526",
"MONTGOMERY","271313","Gas Station","COUNTRY FEED STORE INC","COUNTRY FEED STORE INC","5040","STATE HIGHWAY 30",,,"AMSTERDAM","NY","12010","POINT (-74.185608 42.957378)"
"CLINTON","659680","Dept. Store","TJ MAXX STORE #423","TJX COMPANIES INC","63","CONSUMER SQ PLAZA",,,"PLATTSBURGH","NY","12901","POINT (-73.490118 44.693301)"
"ERIE","661182","Grocery Store","7 ELEVEN #35152A","RAWA S ANABI AND SAM ANABI","4981","SOUTHWESTERN BOULEVARD",,,"HAMBURG","NY","14075","POINT (-78.85101 42.751585)"
"ALBANY","662027","Garden Center","LA HOYA PLANT STUDIO","MARIA LAVERAS","22","HOMESTEAD AVE",,,"ALBANY","NY","12203","POINT (-73.797352 42.669922)"
"SUFFOLK","660569","Drug Store","WALGREENS #19951","WALGREEN EASTERN CO INC","729","SUNRISE HIGHWAY",,,"WEST BABYLON","NY","11704","POINT (-73.34137 40.713894)"
"WESTCHESTER","558456","Drug Store","CVS PHARMACY # 7087","CVS ALBANY LLC","132","BRONX RIVER ROAD",,,"YONKERS","NY","10704","POINT (-73.858493 40.90513)"
"WASHINGTON","660658","Drug Store","WALGREENS #19494","WALGREEN EASTERN CO INC","92","MAIN STREET",,,"HUDSON FALLS","NY","12839","POINT (-73.585136 43.298602)"
"NASSAU","660960","Grocery Store","7 ELEVEN #38140H","7 ELEVEN, INC.","1","JERUSALEM",,,"HEMPSTEAD","NY","11550","POINT (-73.617423 40.70053)"
"NEW YORK","659564","Grocery Store","SPACE 86 CORP","PAN GI LEE","524","COLUMBUS AVE",,,"NEW YORK","NY","10024","POINT (-73.972503 40.78603)"
"SULLIVAN","660587","Drug Store","WALGREENS #17736","WALGREEN EASTERN CO INC","381","BROADWAY",,,"MONTICELLO","NY","12701","POINT (-74.682429 41.653825)"
"FULTON","176020","Drug Store","CVS PHARMACY # 793","CVS ALBANY LLC","1013","STATE HIGHWAY 29A",,,"GLOVERSVILLE","NY","12078","POINT (-74.32317 43.051442)"
"KINGS","659748","Dept. Store","MARSHALLS STORE #726","MARSHALLS OF MA, INC","1832","86TH STREET",,,"BROOKLYN","NY","11214","POINT (-74.001619 40.60665)"
"TOMPKINS","508935","Grocery Store","TOPS #0522","TOPS MARKETS LLC","2300","NORTH TRIPHAMMER ROAD",,,"ITHACA","NY","14850","POINT (-76.484793 42.482421)"
"WAYNE","660232","Hardware Store","SECOR HOME AND HARDWARE","BRIAN SECOR AND DAVID SECOR","6260","FURNACE ROAD",,,"ONTARIO","NY","14519","POINT (-77.282534 43.226207)"
"ERIE","149263","Hardware Store","HOME DEPOT THE #1228","HOME DEPOT USA INC","300","THRUWAY PLAZA DRIVE",,,"CHEEKTOWAGA","NY","14225","POINT (-78.778725 42.90398)"
"NEW YORK","661201","Drug Store","CVS PHARMACY #10933","MARIA SEMEDO","161","AVENUE OF THE AMERICAS",,,"NEW YORK","NY","10013","POINT (-74.003896 40.725813)"
"NASSAU","288843","Dept. Store","TARGET STORE #1264","TARGET CORPORATION","3850","HEMPSTEAD TURNPIKE",,,"LEVITTOWN","NY","11756","POINT (-73.494375 40.725519)"
"QUEENS","661745","Grocery Store","7 ELEVEN STORE #34023D","MD MOSTAFIZUR RAHMAN, JHARNA KHYER","10724","CORONA AVENUE",,,"CORONA","NY","11368","POINT (-73.855443 40.743463)"
"RENSSELAER","659242","Other","DOLLAR TREE #06702","DOLLAR TREE STORES, INC/ GARY PHILBIN","21299","STATE ROUTE 22",,,"HOOSICK FALLS","NY","12090","POINT (-73.358019 42.880936)"
"KINGS","617339","Drug Store","CVS PHARMACY # 2906","CVS ALBANY LLC","10204","FLATLANDS AVE",,,"BROOKLYN","NY","11236","POINT (-73.89664 40.646214)"
"KINGS","659158","Grocery Store","1525 K FOOD LLC","DANIEL KATZ","1525","ALBANY AVENUE",,,"BROOKLYN","NY","11210","POINT (-73.937355 40.63538)"
