"unitnumber","acquisitiondate","make","manufacturer","model","modelyear","statusdescription","categoryclassdesc","maintlocationname","ltd_fuelquantity","ltdusage1","meter1","class1description","usingdepartment","usingdescription","age","ltdcontributions","purchasecost","changedate"
"W6702","2016-11-17T00:00:00.000","JOHNDEERE","JOHNDEERE","GATOR HPX","2017","Active unit","ATV, DUMP BED, 1-2 PASSENGER, E10","Specialty Equipment Shop","0","1559","1560","OFF","420-2077","Water Resources","4","11740.12","11998.17","2020-10-26T09:15:03.000"
"R7617","2016-03-01T00:00:00.000","STIHL","STIHL","HL100 135","2016","Active unit","TRIMMER, SHRUBBERY, E10","Specialty Equipment Shop","0","0","0","OFF","450-2253","Sanitation","4","0","1","2020-06-26T15:09:36.000"
"N120","2012-03-16T00:00:00.000","FORD","FORD","ESCAPE","2012","Active unit","UTILITY, COMPACT, 4DR, E10","Car Shop","3134.56","37076","37076","ON","281-1957","Transportation","8","17407","17407","2020-10-23T11:34:47.000"
"S6128","2011-06-01T00:00:00.000","KAWASAKI","KAWASAKI","4000","2011","Reached end of economical life","ATV, DUMP BED, 1-2 PASSENGER, E10","Specialty Equipment Shop","0","2131","2132","OFF","150-1509","Fire Rescue","9","9618.42","9618.42","2020-08-31T13:03:27.000"
"C158","2017-08-10T00:00:00.000","FORD","FORD","ESCAPE","2017","Active unit","UTILITY, COMPACT, 4DR, E10","Car Shop","1492.29","21432","21432","ON","110-1125","Codes Compliance","3","11846.5","18400","2020-10-22T01:02:38.000"
"R8027","2018-09-11T00:00:00.000","PETERBILT","PETERBILT","520","2019","Active unit","TRUCK, COMPACTOR, FRONT LOAD, ARM, CNG","Sanitation Shop","0","46214","43329","ON","450-2269","Sanitation","2","0","0","2020-10-23T14:50:11.000"
"E7777","2016-12-02T00:00:00.000","STIHL","STIHL","BR600","2017","Active unit","BLOWER, BACK PACK, E10","Specialty Equipment Shop","0","0","0","OFF","400-2343","Stormwater","4","0","394.96","2020-06-30T15:32:31.000"
"E442","2012-06-14T00:00:00.000","INTERNATNL","INTERNATNL","7400 SBA 6X4","2013","Active unit","TRUCK, CONCRETE MIX, DIESEL","Truck Shop","18671.79","14749","14749","ON","400-1265","Stormwater","8","196044","196044","2020-10-21T07:14:06.000"
"E604","2012-08-17T00:00:00.000","GULFINDUST","GULFINDUST","TMA9000","2012","Active unit","TRAILER, ATTENUATOR","Truck Shop","0","0","0","OFF","400-1329","Stormwater","8","29640","29640","2020-10-21T12:46:48.000"
"C7707","2017-09-29T00:00:00.000","STIHL","STIHL","MS461 18","2017","Active unit","CHAIN SAW, E10","Specialty Equipment Shop","0","0","0","OFF","110-1131","Codes Compliance","3","0","845.26","2020-06-30T13:51:20.000"
"K436","2006-01-11T00:00:00.000","STERLING","STERLING","LT7500ACTERA","2006","Reached end of economical life","TRUCK, DUMP, BOOM LOADER, DIESEL","Sanitation Shop","26416.99","113197","113197","ON","190-2471","Parks and Recreation","14","85886","85886","2020-10-22T10:34:55.000"
