"date","fiscal_year","of_solicitations"
"2008-09-30T00:00:00.000","FY08","96"
"2009-09-30T00:00:00.000","FY09","132"
"2010-09-30T00:00:00.000","FY10","162"
"2011-09-30T00:00:00.000","FY11","138"
"2012-09-30T00:00:00.000","FY12","173"
"2013-09-30T00:00:00.000","FY13","193"
"2014-09-30T00:00:00.000","FY14","190"
"2015-09-30T00:00:00.000","FY15","153"
"2016-09-30T00:00:00.000","FY16","236"
"2017-09-30T00:00:00.000","FY17","213"
"2018-09-30T00:00:00.000","FY18","193"
"2019-09-30T00:00:00.000","FY19","179"
"2020-09-30T00:00:00.000","FY20","233"
"2021-01-31T00:00:00.000","FY21 YTD","53"
